#SampleID	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia	d__Bacteria;p__Actinobacteriota;c__Actinobacteria	d__Bacteria;p__Myxococcota;c__Myxococcia	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes	d__Bacteria;p__Firmicutes;c__Bacilli	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria	d__Bacteria;p__Dependentiae;c__Babeliae	d__Bacteria;p__Myxococcota;c__Polyangia	d__Bacteria;p__Nitrospirota;c__Nitrospiria	d__Bacteria;p__Bacteroidota;c__Bacteroidia	d__Bacteria;p__Gemmatimonadota;c__Longimicrobia	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	d__Bacteria;p__Bdellovibrionota;c__Oligoflexia	d__Bacteria;p__Chloroflexi;c__Anaerolineae	d__Bacteria;p__Abditibacteriota;c__Abditibacteria	d__Bacteria;p__Acidobacteriota;c__Subgroup_5	d__Bacteria;p__Planctomycetota;c__Phycisphaerae	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia	d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group	d__Bacteria;p__Chloroflexi;c__Ktedonobacteria	d__Bacteria;p__Acidobacteriota;c__Subgroup_25	d__Bacteria;p__Firmicutes;c__Clostridia	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIa	d__Bacteria;p__Planctomycetota;c__Pla4_lineage	d__Bacteria;p__Bacteroidota;c__Kapabacteria	d__Bacteria;p__Armatimonadota;c__Armatimonadia	d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B)	d__Bacteria;p__Entotheonellaeota;c__Entotheonellia	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria	d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIb	d__Bacteria;p__Acidobacteriota;c__Holophagae	d__Bacteria;p__Cyanobacteria;c__Sericytochromatia	d__Bacteria;p__Planctomycetota;c__Planctomycetes	d__Bacteria;p__Desulfobacterota;c__uncultured	d__Bacteria;p__Armatimonadota;c__Chthonomonadetes	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria	d__Bacteria;p__MBNT15;c__MBNT15	d__Bacteria;p__Bacteroidota;c__Ignavibacteria	d__Bacteria;p__Firmicutes;c__Desulfitobacteriia	d__Bacteria;p__Planctomycetota;c__vadinHA49	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia	d__Bacteria;p__Acidobacteriota;c__Blastocatellia	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia	d__Bacteria;p__Myxococcota;c__bacteriap25	d__Bacteria;p__Chloroflexi;c__Chloroflexia	d__Bacteria;p__NB1-j;c__NB1-j	d__Bacteria;p__FCPU426;c__FCPU426	d__Bacteria;p__Actinobacteriota;c__MB-A2-108	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	d__Bacteria;p__Chloroflexi;c__KD4-96	d__Bacteria;p__Acidobacteriota;c__Subgroup_22	d__Bacteria;p__Chloroflexi;c__AD3	d__Bacteria;p__Armatimonadota;c__uncultured	d__Bacteria;p__Acidobacteriota;c__Subgroup_11	d__Bacteria;p__Patescibacteria;c__Saccharimonadia	d__Bacteria;p__Latescibacterota;c__Latescibacteria	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIc	d__Bacteria;p__Patescibacteria;c__Berkelbacteria	d__Bacteria;p__Chloroflexi;c__Gitt-GS-136	d__Bacteria;p__Campylobacterota;c__Campylobacteria	d__Bacteria;p__Dadabacteria;c__Dadabacteriia	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia	d__Bacteria;p__Spirochaetota;c__Leptospirae	d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia	d__Bacteria;p__Latescibacterota;c__Latescibacterota	d__Bacteria;p__Firmicutes;c__Negativicutes	d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66
SRR8743444	0.0	4072.0	2255.0	13.0	5137.0	50.0	2829.0	656.0	1884.0	1854.0	6.0	11.0	171.0	14.0	1031.0	0.0	76.0	22.0	0.0	10.0	9.0	0.0	0.0	0.0	44.0	0.0	3.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0	21.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743445	6.0	7120.0	4240.0	287.0	5327.0	143.0	3791.0	1602.0	2982.0	3587.0	3.0	30.0	471.0	96.0	1684.0	0.0	284.0	18.0	0.0	12.0	15.0	3.0	11.0	0.0	83.0	0.0	29.0	0.0	63.0	0.0	16.0	31.0	0.0	0.0	19.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743446	0.0	2967.0	232.0	111.0	6209.0	0.0	3143.0	269.0	540.0	581.0	0.0	3.0	27.0	13.0	2171.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743447	0.0	3877.0	1678.0	702.0	4299.0	115.0	2561.0	1383.0	2326.0	4241.0	0.0	9.0	256.0	84.0	748.0	3.0	207.0	0.0	0.0	11.0	24.0	0.0	123.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	112.0	0.0	0.0	10.0	6.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743456	7.0	7535.0	3507.0	1109.0	8483.0	252.0	5228.0	2536.0	4163.0	8873.0	25.0	39.0	805.0	191.0	1528.0	8.0	443.0	6.0	0.0	2.0	64.0	0.0	555.0	4.0	68.0	0.0	24.0	0.0	25.0	0.0	16.0	0.0	0.0	14.0	140.0	0.0	0.0	23.0	0.0	0.0	0.0	4.0	10.0	0.0	0.0	0.0	8.0	0.0	8.0	0.0	96.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743457	0.0	2210.0	992.0	0.0	5973.0	12.0	2542.0	111.0	476.0	648.0	0.0	0.0	118.0	0.0	733.0	0.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743461	4.0	4327.0	262.0	27.0	2512.0	8.0	3452.0	148.0	225.0	177.0	0.0	0.0	304.0	12.0	3765.0	0.0	50.0	4.0	0.0	4.0	9.0	0.0	15.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	0.0	0.0	13.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	353.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743462	0.0	4165.0	213.0	37.0	5614.0	23.0	4537.0	247.0	529.0	479.0	0.0	2.0	53.0	0.0	3671.0	0.0	17.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743463	0.0	3411.0	641.0	105.0	3765.0	17.0	2496.0	556.0	1048.0	1017.0	0.0	0.0	117.0	18.0	2019.0	0.0	76.0	10.0	0.0	0.0	0.0	0.0	28.0	0.0	11.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	37.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743465	0.0	4060.0	508.0	153.0	8549.0	0.0	4258.0	325.0	1129.0	665.0	0.0	2.0	54.0	9.0	3144.0	0.0	39.0	24.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	12.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
