#SampleID	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Dependentiae	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__MBNT15	d__Bacteria;p__NB1-j	d__Bacteria;p__FCPU426	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Dadabacteria	d__Bacteria;p__Spirochaetota
SRR8743444	22.0	6901.0	2270.0	7025.0	221.0	656.0	1887.0	11.0	14.0	1038.0	76.0	44.0	10.0	6.0	16.0	7.0	0.0	0.0	17.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743445	24.0	10911.0	4269.0	9220.0	614.0	1602.0	3011.0	30.0	96.0	1700.0	284.0	90.0	12.0	142.0	63.0	31.0	0.0	0.0	25.0	3.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743446	0.0	6110.0	250.0	6944.0	27.0	269.0	540.0	3.0	13.0	2171.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743447	0.0	6438.0	1835.0	9465.0	428.0	1386.0	2326.0	9.0	84.0	748.0	207.0	84.0	11.0	0.0	0.0	10.0	0.0	0.0	12.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743456	13.0	12763.0	4182.0	18834.0	1160.0	2548.0	4187.0	39.0	191.0	1544.0	443.0	68.0	2.0	8.0	25.0	4.0	0.0	14.0	23.0	0.0	0.0	10.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743457	10.0	4752.0	992.0	6621.0	130.0	111.0	481.0	0.0	0.0	733.0	10.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743461	8.0	7779.0	286.0	2729.0	312.0	148.0	225.0	0.0	12.0	3768.0	50.0	10.0	4.0	0.0	2.0	6.0	0.0	0.0	6.0	0.0	0.0	353.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743462	14.0	8702.0	213.0	6130.0	76.0	247.0	529.0	2.0	0.0	3671.0	17.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743463	10.0	5907.0	671.0	4962.0	171.0	556.0	1048.0	0.0	18.0	2019.0	76.0	16.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8743465	24.0	8318.0	534.0	9381.0	54.0	325.0	1141.0	2.0	9.0	3144.0	39.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
