#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR8743444	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743445	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743446	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743447	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743456	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743457	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743461	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743462	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743463	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743465	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743466	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743468	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743469	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743472	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743482	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743484	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743486	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743488	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743490	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743491	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743492	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743493	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743494	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743499	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743501	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743502	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743503	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743505	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743506	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743507	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743508	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743509	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743510	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743512	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743513	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743515	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743516	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743517	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743518	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743519	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743520	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743522	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743524	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743527	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743528	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743529	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
