#SampleID	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__NB1-j	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Patescibacteria	d__Bacteria;p__FCPU426	d__Bacteria;p__MBNT15	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Deinococcota	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__WPS-2
SRR21722989	64.0	12404.0	634.0	0.0	758.0	961.0	11622.0	5.0	42.0	18.0	36.0	0.0	0.0	5.0	20.0	10.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21722990	40.0	23982.0	1655.0	0.0	244.0	703.0	5998.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21722991	77.0	10840.0	1349.0	0.0	75.0	4737.0	6384.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21722992	7.0	7589.0	292.0	0.0	34.0	95.0	2871.0	0.0	20.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21722994	34.0	13038.0	855.0	0.0	736.0	284.0	10080.0	10.0	11.0	12.0	18.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21722995	3.0	22324.0	38.0	0.0	4.0	24.0	1173.0	3.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21722997	528.0	4078.0	298.0	0.0	2034.0	2161.0	6659.0	2.0	90.0	70.0	45.0	25.0	0.0	35.0	6.0	0.0	2.0	0.0	0.0	45.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723014	691.0	3660.0	692.0	6.0	411.0	1228.0	7390.0	12.0	132.0	50.0	25.0	6.0	0.0	14.0	0.0	2.0	0.0	0.0	0.0	57.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723015	366.0	7204.0	1548.0	0.0	1891.0	991.0	8018.0	2.0	73.0	32.0	44.0	11.0	3.0	9.0	9.0	7.0	0.0	3.0	0.0	15.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723026	1582.0	6167.0	973.0	0.0	1092.0	3091.0	15737.0	31.0	270.0	174.0	37.0	33.0	2.0	29.0	4.0	11.0	15.0	0.0	0.0	99.0	0.0	3.0	4.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0
