#SampleID	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Myxococcota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__MBNT15	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Spirochaetota	d__Bacteria;p__FCPU426	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Deinococcota	d__Bacteria;p__WS2	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__RCP2-54	d__Bacteria;p__WPS-2	d__Bacteria;p__NB1-j	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__WS4	d__Bacteria;p__Deferrisomatota	d__Bacteria;p__Margulisbacteria	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Deferribacterota	d__Bacteria;p__Zixibacteria	d__Bacteria;p__GAL15	d__Bacteria;p__Sva0485	d__Bacteria;p__TX1A-33	d__Bacteria;p__Dadabacteria	d__Bacteria;p__WS1	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__PAUC34f	d__Bacteria;p__TA06
SRR20680469	67268.0	36037.0	9561.0	13758.0	13932.0	28999.0	11461.0	15032.0	748.0	25925.0	1329.0	1949.0	137.0	3991.0	441.0	1189.0	2319.0	1211.0	58.0	277.0	20.0	666.0	766.0	120.0	485.0	1057.0	623.0	13.0	16.0	115.0	55.0	131.0	14.0	46.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680470	72493.0	18705.0	4967.0	5885.0	3607.0	11217.0	7099.0	6081.0	244.0	8689.0	534.0	851.0	63.0	4091.0	261.0	252.0	894.0	476.0	15.0	54.0	7.0	160.0	185.0	34.0	130.0	203.0	138.0	29.0	0.0	32.0	30.0	108.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680471	39941.0	21616.0	6229.0	5371.0	5844.0	28237.0	10478.0	17432.0	457.0	25055.0	1767.0	368.0	227.0	11202.0	309.0	3365.0	673.0	456.0	88.0	45.0	0.0	314.0	395.0	6.0	443.0	613.0	975.0	2.0	27.0	0.0	669.0	87.0	23.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
SRR20680473	63708.0	27047.0	7381.0	8340.0	7000.0	17120.0	9759.0	8346.0	491.0	12139.0	825.0	1199.0	104.0	2537.0	521.0	551.0	1397.0	719.0	76.0	109.0	0.0	400.0	589.0	58.0	189.0	283.0	285.0	11.0	12.0	26.0	7.0	152.0	8.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680474	92009.0	31328.0	7111.0	6408.0	4698.0	12692.0	6845.0	7369.0	315.0	9709.0	613.0	984.0	87.0	1281.0	287.0	290.0	1589.0	588.0	19.0	68.0	7.0	225.0	278.0	59.0	146.0	274.0	239.0	6.0	3.0	26.0	11.0	91.0	7.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680475	78382.0	40876.0	9612.0	6788.0	5587.0	15341.0	10531.0	8740.0	363.0	10335.0	732.0	1216.0	90.0	2006.0	423.0	507.0	2777.0	783.0	7.0	74.0	0.0	93.0	194.0	91.0	180.0	379.0	203.0	130.0	7.0	49.0	47.0	166.0	13.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680476	50747.0	28251.0	5855.0	4790.0	3655.0	12338.0	6386.0	6882.0	109.0	10559.0	667.0	943.0	55.0	3395.0	173.0	310.0	1612.0	832.0	14.0	74.0	8.0	79.0	168.0	110.0	145.0	221.0	108.0	0.0	0.0	17.0	32.0	109.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680477	60876.0	38796.0	12981.0	9558.0	10784.0	26269.0	12655.0	18091.0	1110.0	23630.0	977.0	1905.0	75.0	4482.0	933.0	1187.0	2506.0	974.0	46.0	236.0	36.0	607.0	1144.0	101.0	542.0	955.0	785.0	6.0	15.0	127.0	99.0	115.0	12.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680478	54978.0	28607.0	9675.0	10392.0	9143.0	23102.0	11105.0	13690.0	726.0	19604.0	991.0	1802.0	91.0	18870.0	571.0	871.0	1943.0	874.0	65.0	150.0	38.0	849.0	874.0	71.0	370.0	740.0	581.0	11.0	27.0	65.0	42.0	90.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680479	49521.0	14048.0	4712.0	12505.0	5799.0	27990.0	11383.0	15228.0	651.0	24326.0	1590.0	833.0	168.0	23291.0	446.0	1938.0	968.0	117.0	73.0	50.0	0.0	865.0	836.0	165.0	282.0	1130.0	1382.0	0.0	20.0	16.0	685.0	138.0	29.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680480	51047.0	26537.0	8622.0	8130.0	9259.0	21641.0	7673.0	9752.0	470.0	16068.0	807.0	1348.0	167.0	4313.0	480.0	944.0	1863.0	807.0	35.0	174.0	12.0	804.0	578.0	92.0	314.0	561.0	758.0	0.0	3.0	90.0	16.0	101.0	7.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680481	44786.0	28573.0	8397.0	6049.0	7546.0	17604.0	8203.0	11752.0	218.0	21428.0	827.0	1191.0	59.0	4042.0	464.0	806.0	1886.0	678.0	23.0	189.0	20.0	437.0	879.0	37.0	339.0	578.0	507.0	0.0	0.0	65.0	23.0	106.0	0.0	39.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680482	50367.0	23949.0	6001.0	9975.0	6561.0	21770.0	8301.0	12308.0	124.0	23111.0	1222.0	1760.0	117.0	9547.0	424.0	680.0	2401.0	754.0	20.0	117.0	0.0	674.0	794.0	104.0	385.0	662.0	375.0	14.0	16.0	101.0	20.0	121.0	12.0	10.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680483	42131.0	22813.0	8619.0	9309.0	5773.0	26607.0	9008.0	16958.0	588.0	27465.0	2086.0	526.0	147.0	24697.0	444.0	2809.0	913.0	126.0	36.0	124.0	5.0	311.0	611.0	108.0	304.0	1017.0	918.0	12.0	9.0	24.0	496.0	100.0	9.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
SRR20680484	32297.0	16178.0	4665.0	5608.0	3986.0	13788.0	6083.0	7603.0	54.0	16669.0	770.0	1001.0	45.0	3097.0	208.0	516.0	1138.0	446.0	15.0	58.0	7.0	376.0	568.0	67.0	264.0	359.0	248.0	4.0	17.0	67.0	29.0	27.0	7.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680485	36894.0	19254.0	4753.0	8267.0	5359.0	11408.0	6724.0	7675.0	199.0	15991.0	534.0	817.0	24.0	2819.0	151.0	601.0	1456.0	439.0	28.0	107.0	8.0	419.0	490.0	26.0	319.0	382.0	283.0	14.0	0.0	115.0	39.0	66.0	3.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680486	44043.0	17602.0	5446.0	11908.0	6199.0	15806.0	7709.0	8942.0	266.0	13824.0	696.0	1150.0	23.0	7284.0	322.0	606.0	1607.0	568.0	22.0	105.0	6.0	561.0	605.0	44.0	179.0	548.0	202.0	43.0	0.0	62.0	18.0	49.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680487	44604.0	19070.0	6238.0	7683.0	5203.0	16123.0	9523.0	8079.0	88.0	15640.0	596.0	1235.0	120.0	3350.0	304.0	504.0	1801.0	692.0	19.0	104.0	16.0	651.0	671.0	54.0	284.0	924.0	356.0	0.0	0.0	54.0	49.0	61.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680488	38585.0	16261.0	3558.0	3433.0	1297.0	7013.0	4736.0	3884.0	93.0	5037.0	326.0	455.0	28.0	1864.0	47.0	173.0	1072.0	389.0	13.0	18.0	5.0	43.0	82.0	45.0	166.0	101.0	140.0	33.0	0.0	13.0	13.0	73.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680489	33154.0	13573.0	3156.0	4310.0	1524.0	6855.0	5250.0	4692.0	31.0	7995.0	411.0	493.0	27.0	823.0	125.0	118.0	995.0	524.0	2.0	17.0	0.0	112.0	145.0	42.0	85.0	304.0	114.0	2.0	2.0	7.0	21.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680490	49902.0	23859.0	4511.0	4815.0	2431.0	8334.0	4700.0	6473.0	80.0	10221.0	590.0	679.0	83.0	7170.0	140.0	187.0	1517.0	454.0	5.0	25.0	0.0	118.0	202.0	65.0	138.0	87.0	210.0	18.0	16.0	31.0	23.0	97.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680491	36344.0	15374.0	3633.0	8775.0	4173.0	25324.0	8735.0	13768.0	224.0	24517.0	2194.0	376.0	258.0	11483.0	210.0	2710.0	851.0	145.0	24.0	38.0	0.0	383.0	430.0	46.0	381.0	634.0	1252.0	0.0	24.0	16.0	733.0	233.0	11.0	171.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680492	56933.0	22044.0	4596.0	6338.0	2577.0	10225.0	8575.0	6879.0	137.0	9947.0	509.0	730.0	70.0	1050.0	186.0	311.0	1980.0	543.0	7.0	36.0	10.0	128.0	196.0	75.0	121.0	227.0	134.0	0.0	0.0	37.0	39.0	94.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680493	50402.0	15124.0	5877.0	8798.0	2875.0	11287.0	6240.0	3965.0	173.0	13554.0	537.0	846.0	80.0	2067.0	351.0	269.0	1531.0	282.0	28.0	21.0	0.0	621.0	259.0	42.0	170.0	475.0	156.0	0.0	0.0	30.0	21.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680494	30238.0	15946.0	4379.0	5718.0	4214.0	15090.0	4797.0	6797.0	144.0	12670.0	411.0	1011.0	47.0	2502.0	256.0	320.0	1261.0	647.0	20.0	115.0	7.0	278.0	591.0	6.0	221.0	340.0	192.0	0.0	0.0	18.0	28.0	82.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680495	33981.0	14892.0	5742.0	6486.0	4293.0	22991.0	8277.0	12418.0	372.0	18957.0	1403.0	288.0	230.0	20989.0	265.0	2043.0	716.0	152.0	84.0	50.0	0.0	270.0	475.0	29.0	372.0	605.0	781.0	0.0	6.0	15.0	472.0	53.0	28.0	75.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680496	49548.0	15186.0	7373.0	20750.0	4800.0	14898.0	9347.0	8144.0	205.0	23739.0	795.0	1172.0	57.0	3319.0	378.0	448.0	1426.0	535.0	22.0	164.0	0.0	3689.0	440.0	72.0	189.0	612.0	484.0	14.0	5.0	76.0	34.0	63.0	5.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680497	60508.0	22301.0	7804.0	14466.0	8773.0	23375.0	11077.0	13225.0	141.0	20852.0	899.0	1949.0	82.0	6512.0	366.0	816.0	1992.0	775.0	12.0	100.0	10.0	895.0	935.0	56.0	372.0	979.0	362.0	21.0	9.0	69.0	97.0	87.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680530	30888.0	12221.0	3440.0	5011.0	3809.0	21385.0	7229.0	10566.0	226.0	25626.0	1395.0	352.0	135.0	10801.0	393.0	2526.0	757.0	685.0	155.0	40.0	23.0	606.0	649.0	0.0	308.0	635.0	1134.0	0.0	0.0	10.0	477.0	114.0	14.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680531	16121.0	13616.0	1874.0	1107.0	1604.0	10899.0	2467.0	9597.0	4.0	15931.0	755.0	89.0	120.0	10977.0	127.0	1443.0	631.0	181.0	0.0	5.0	0.0	35.0	72.0	9.0	178.0	172.0	1173.0	4.0	2.0	0.0	431.0	33.0	5.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680532	22983.0	9573.0	3110.0	3035.0	2939.0	15894.0	4873.0	7782.0	132.0	14399.0	908.0	325.0	199.0	13311.0	192.0	1176.0	429.0	286.0	13.0	72.0	7.0	198.0	221.0	17.0	164.0	379.0	633.0	65.0	0.0	2.0	226.0	38.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
