#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR20680469	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR20680470	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Control	Fabids	Phaseolus vulgaris	Rhizosphere	Not available for this type of experiment	515F,806R
SRR20680471	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR20680473	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Control	Fabids	Phaseolus vulgaris	Rhizosphere	Not available for this type of experiment	515F,806R
SRR20680474	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Control	Fabids	Phaseolus vulgaris	Rhizosphere	Not available for this type of experiment	515F,806R
SRR20680475	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Control	Fabids	Phaseolus vulgaris	Rhizosphere	Not available for this type of experiment	515F,806R
SRR20680476	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Control	Fabids	Phaseolus vulgaris	Rhizosphere	Not available for this type of experiment	515F,806R
SRR20680477	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR20680478	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR20680479	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Control	PACMAD clade	Panicum virgatum	Rhizosphere	Not available for this type of experiment	515F,806R
SRR20680480	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR20680481	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR20680482	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR20680483	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Drought	PACMAD clade	Panicum virgatum	Rhizosphere	Not available for this type of experiment	515F,806R
SRR20680484	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR20680485	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR20680486	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR20680487	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR20680488	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Drought	Fabids	Phaseolus vulgaris	Rhizosphere	Not available for this type of experiment	515F,806R
SRR20680489	bandopadhyay2024disentangling	Bandopadhyay et al. (2024)	Drought	Fabids	Phaseolus vulgaris	Rhizosphere	Not available for this type of experiment	515F,806R
