#SampleID	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Spirochaetota	d__Bacteria;p__WS4	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__FCPU426	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Zixibacteria	d__Bacteria;p__Margulisbacteria	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Deferrisomatota	d__Bacteria;p__WPS-2	d__Bacteria;p__Campylobacterota	d__Bacteria;p__MBNT15	d__Bacteria;p__WS2	d__Bacteria;p__Deinococcota	d__Bacteria;p__NB1-j	d__Bacteria;p__Modulibacteria	d__Bacteria;p__DTB120	d__Bacteria;p__RCP2-54	d__Bacteria;p__Halanaerobiaeota	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__WS1	d__Bacteria;p__Dadabacteria
SRR21722989	64.0	12404.0	634.0	0.0	758.0	961.0	11622.0	5.0	42.0	18.0	36.0	0.0	0.0	5.0	20.0	10.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21722990	40.0	23982.0	1655.0	0.0	244.0	703.0	5998.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21722991	77.0	10840.0	1349.0	0.0	75.0	4737.0	6384.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21722992	7.0	7589.0	292.0	0.0	34.0	95.0	2871.0	0.0	20.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21722994	34.0	13038.0	855.0	0.0	736.0	284.0	10080.0	10.0	11.0	12.0	18.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21722995	3.0	22324.0	38.0	0.0	4.0	24.0	1173.0	3.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723044	41.0	32306.0	494.0	0.0	157.0	116.0	4950.0	4.0	63.0	0.0	10.0	4.0	0.0	7.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723045	229.0	5851.0	1182.0	28.0	459.0	631.0	7179.0	7.0	27.0	7.0	14.0	31.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723046	34.0	10071.0	853.0	0.0	438.0	398.0	6257.0	0.0	30.0	32.0	2.0	16.0	0.0	10.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723047	0.0	12492.0	403.0	0.0	47.0	859.0	4733.0	8.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
