#SampleID	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Zixibacteria	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Dadabacteria	d__Bacteria;p__GAL15	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__WPS-2	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__NB1-j	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__FCPU426	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__WS2	d__Bacteria;p__Nitrospirota	d__Bacteria;p__MBNT15	d__Bacteria;p__RCP2-54	d__Bacteria;p__Deferrisomatota	d__Bacteria;p__Nitrospinota	d__Bacteria;p__Margulisbacteria	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Deinococcota	d__Bacteria;p__WS4	d__Bacteria;p__PAUC34f	d__Bacteria;p__DTB120	d__Bacteria;p__Campylobacterota	d__Bacteria;p__FW113
SRR6439542	221.0	64.0	20.0	1176.0	457.0	6213.0	791.0	103.0	1725.0	638.0	0.0	124.0	0.0	0.0	635.0	22.0	15.0	0.0	0.0	26.0	382.0	18.0	91.0	0.0	0.0	21.0	16.0	164.0	0.0	0.0	0.0	6.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6439550	625.0	141.0	26.0	4978.0	1221.0	15975.0	2976.0	98.0	565.0	950.0	0.0	0.0	4.0	4.0	984.0	695.0	590.0	0.0	0.0	218.0	112.0	75.0	128.0	0.0	0.0	11.0	0.0	27.0	727.0	0.0	0.0	7.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6439551	181.0	123.0	4.0	1874.0	869.0	11773.0	4858.0	89.0	506.0	574.0	0.0	2.0	0.0	0.0	597.0	44.0	128.0	0.0	0.0	69.0	34.0	0.0	324.0	0.0	0.0	8.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6439552	110.0	45.0	9.0	1652.0	656.0	7072.0	2510.0	27.0	265.0	391.0	0.0	0.0	2.0	0.0	356.0	37.0	31.0	0.0	0.0	17.0	15.0	50.0	48.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6439553	66.0	69.0	9.0	391.0	451.0	20960.0	1537.0	51.0	119.0	139.0	0.0	4.0	5.0	0.0	348.0	42.0	506.0	0.0	0.0	87.0	35.0	7.0	36.0	0.0	0.0	0.0	0.0	9.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6439554	220.0	189.0	9.0	10917.0	1456.0	5081.0	2539.0	14.0	171.0	100.0	0.0	0.0	2.0	0.0	149.0	34.0	9.0	0.0	0.0	0.0	46.0	9.0	40.0	0.0	0.0	0.0	0.0	0.0	292.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6439555	232.0	18.0	9.0	2181.0	1034.0	5423.0	713.0	50.0	430.0	345.0	0.0	0.0	4.0	0.0	373.0	82.0	110.0	0.0	0.0	108.0	26.0	50.0	37.0	0.0	0.0	4.0	0.0	31.0	300.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6439556	209.0	53.0	25.0	6732.0	2311.0	10800.0	2248.0	93.0	261.0	380.0	0.0	0.0	0.0	0.0	318.0	30.0	89.0	0.0	0.0	238.0	27.0	0.0	153.0	0.0	0.0	0.0	0.0	0.0	1464.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6439558	56.0	35.0	0.0	393.0	227.0	14530.0	996.0	34.0	185.0	170.0	0.0	2.0	0.0	0.0	716.0	19.0	838.0	0.0	0.0	38.0	0.0	228.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6439570	128.0	59.0	0.0	10214.0	786.0	8387.0	3298.0	250.0	136.0	189.0	0.0	0.0	0.0	0.0	267.0	82.0	120.0	0.0	0.0	4.0	38.0	10.0	67.0	0.0	0.0	0.0	0.0	7.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
