#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR6439542	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Drought	Fabids	Potentilla recta	Rhizosphere	Not available for this type of experiment	515F,808R
SRR6439550	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Control	BOP clade	Lolium arundinaceum	Endosphere	Not available for this type of experiment	515F,808R
SRR6439551	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Control	Fabids	Desmodium canadense	Endosphere	Not available for this type of experiment	515F,808R
SRR6439552	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Drought	Fabids	Desmodium canadense	Endosphere	Not available for this type of experiment	515F,808R
SRR6439553	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Control	Fabids	Desmodium canadense	Endosphere	Not available for this type of experiment	515F,808R
SRR6439554	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Drought	BOP clade	Lolium arundinaceum	Endosphere	Not available for this type of experiment	515F,808R
SRR6439555	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Control	BOP clade	Lolium arundinaceum	Endosphere	Not available for this type of experiment	515F,808R
SRR6439556	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Control	BOP clade	Lolium arundinaceum	Endosphere	Not available for this type of experiment	515F,808R
SRR6439558	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Control	Fabids	Lotus corniculatus	Endosphere	Not available for this type of experiment	515F,808R
SRR6439570	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Control	BOP clade	Phalaris arundinacea	Endosphere	Not available for this type of experiment	515F,808R
SRR6439571	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Drought	BOP clade	Phalaris arundinacea	Endosphere	Not available for this type of experiment	515F,808R
SRR6439573	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Drought	Fabids	Geum canadense	Endosphere	Not available for this type of experiment	515F,808R
SRR6439575	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Drought	Fabids	Geum canadense	Endosphere	Not available for this type of experiment	515F,808R
SRR6439582	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Drought	Fabids	Lotus corniculatus	Endosphere	Not available for this type of experiment	515F,808R
SRR6439583	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Drought	Fabids	Lotus corniculatus	Endosphere	Not available for this type of experiment	515F,808R
SRR6439594	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Drought	Asterids	Asclepias incarnata	Endosphere	Not available for this type of experiment	515F,808R
SRR6439606	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Drought	Fabids	Lotus corniculatus	Rhizosphere	Not available for this type of experiment	515F,808R
SRR6439610	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Drought	Malvids	Capsella bursa-pastoris	Endosphere	Not available for this type of experiment	515F,808R
SRR6439612	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Drought	Malvids	Capsella bursa-pastoris	Endosphere	Not available for this type of experiment	515F,808R
SRR6439613	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Drought	Malvids	Capsella bursa-pastoris	Endosphere	Not available for this type of experiment	515F,808R
SRR6439615	fitzpatrick2018assembly	Fitzpatrick et al. (2018)	Control	Asterids	Convolvulus arvensis	Endosphere	Not available for this type of experiment	515F,808R
