#SampleID	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	d__Bacteria;p__Myxococcota;c__Polyangia	d__Bacteria;p__Bacteroidota;c__Bacteroidia	d__Bacteria;p__Chloroflexi;c__Chloroflexia	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	d__Bacteria;p__Nitrospirota;c__Nitrospiria	d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia	d__Bacteria;p__Planctomycetota;c__Planctomycetes	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia	d__Bacteria;p__Planctomycetota;c__Phycisphaerae	d__Bacteria;p__Armatimonadota;c__Armatimonadia	d__Bacteria;p__Armatimonadota;c__Chthonomonadetes	d__Bacteria;p__Acidobacteriota;c__Blastocatellia	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia	d__Bacteria;p__Cyanobacteria;c__Sericytochromatia	d__Bacteria;p__Bdellovibrionota;c__Oligoflexia	d__Bacteria;p__Planctomycetota;c__vadinHA49	d__Bacteria;p__Chloroflexi;c__Ktedonobacteria	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae	d__Bacteria;p__Actinobacteriota;c__MB-A2-108	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes	d__Bacteria;p__Firmicutes;c__Clostridia	d__Bacteria;p__Myxococcota;c__Myxococcia	d__Bacteria;p__Patescibacteria;c__Saccharimonadia	d__Bacteria;p__Armatimonadota;c__uncultured	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria	d__Bacteria;p__Abditibacteriota;c__Abditibacteria	d__Bacteria;p__Dependentiae;c__Babeliae	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia	d__Bacteria;p__Firmicutes;c__Bacilli	d__Bacteria;p__Latescibacterota;c__Latescibacterota	d__Bacteria;p__Chloroflexi;c__Anaerolineae	d__Bacteria;p__Patescibacteria;c__ABY1	d__Bacteria;p__Sumerlaeota;c__Sumerlaeia	d__Bacteria;p__Spirochaetota;c__Spirochaetia	d__Bacteria;p__Patescibacteria;c__Parcubacteria	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia	d__Bacteria;p__Spirochaetota;c__Leptospirae	d__Bacteria;p__Gemmatimonadota;c__Longimicrobia	d__Bacteria;p__Acidobacteriota;c__Holophagae	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia	d__Bacteria;p__Myxococcota;c__bacteriap25	d__Bacteria;p__Desulfobacterota;c__uncultured	d__Bacteria;p__Bacteroidota;c__Kapabacteria	d__Bacteria;p__Chloroflexi;c__KD4-96	d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group	d__Bacteria;p__Deinococcota;c__Deinococci	d__Bacteria;p__Planctomycetota;c__OM190	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia	d__Bacteria;p__WPS-2;c__WPS-2	d__Bacteria;p__GAL15;c__GAL15	d__Bacteria;p__Chloroflexi;c__TK10	d__Bacteria;p__Latescibacterota;c__Latescibacteria	d__Bacteria;p__Planctomycetota;c__BD7-11	d__Bacteria;p__Patescibacteria;c__Berkelbacteria	d__Bacteria;p__Chloroflexi;c__Gitt-GS-136	d__Bacteria;p__Chloroflexi;c__OLB14	d__Bacteria;p__MBNT15;c__MBNT15	d__Bacteria;p__Acidobacteriota;c__Subgroup_11	d__Bacteria;p__Planctomycetota;c__Pla3_lineage
SRR16953348	5091.0	305.0	5447.0	8.0	2976.0	324.0	1286.0	78.0	687.0	0.0	168.0	15.0	110.0	72.0	26.0	474.0	0.0	0.0	0.0	124.0	120.0	18.0	25.0	7.0	0.0	35.0	0.0	101.0	0.0	33.0	4.0	9.0	0.0	0.0	6.0	43.0	0.0	0.0	16.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	9.0	0.0	0.0	80.0	0.0	9.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR16953349	6411.0	216.0	3157.0	0.0	5832.0	2899.0	2756.0	28.0	68.0	0.0	115.0	32.0	112.0	8.0	21.0	70.0	33.0	0.0	0.0	43.0	40.0	13.0	38.0	214.0	0.0	25.0	0.0	169.0	0.0	226.0	81.0	76.0	13.0	29.0	57.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4475.0	0.0	0.0	150.0	0.0	7.0	0.0	16.0	2.0	0.0	0.0	0.0	0.0	0.0
SRR16953350	2890.0	189.0	1607.0	0.0	2654.0	1164.0	2411.0	10.0	38.0	0.0	7.0	15.0	50.0	61.0	9.0	49.0	9.0	17.0	0.0	0.0	43.0	74.0	0.0	178.0	10.0	11.0	0.0	104.0	0.0	25.0	191.0	98.0	30.0	18.0	15.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	1064.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR16953351	4344.0	191.0	1582.0	0.0	2122.0	3048.0	1672.0	5.0	33.0	2.0	30.0	54.0	92.0	59.0	0.0	43.0	3.0	0.0	6.0	21.0	151.0	0.0	0.0	178.0	0.0	16.0	0.0	72.0	0.0	33.0	370.0	64.0	19.0	13.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	720.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
SRR16953352	12624.0	588.0	11698.0	8.0	15226.0	3943.0	6085.0	249.0	5.0	0.0	703.0	197.0	1377.0	131.0	45.0	201.0	146.0	45.0	0.0	196.0	78.0	51.0	121.0	386.0	0.0	111.0	0.0	127.0	0.0	320.0	53.0	41.0	32.0	8.0	59.0	0.0	64.0	0.0	18.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	4.0	30.0	0.0	5006.0	4.0	13.0	192.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR16953353	3838.0	265.0	3062.0	6.0	2347.0	424.0	1473.0	10.0	0.0	0.0	179.0	0.0	56.0	66.0	23.0	72.0	0.0	0.0	0.0	35.0	5.0	14.0	8.0	103.0	0.0	16.0	0.0	45.0	0.0	8.0	0.0	9.0	0.0	0.0	0.0	20.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	7.0	0.0	0.0	0.0	0.0	0.0	295.0	0.0	0.0	37.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR16953354	7206.0	607.0	5780.0	0.0	10641.0	4897.0	3767.0	71.0	23.0	0.0	4.0	389.0	137.0	195.0	43.0	255.0	16.0	0.0	10.0	67.0	78.0	48.0	21.0	324.0	0.0	8.0	0.0	460.0	0.0	66.0	721.0	41.0	20.0	45.0	63.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	53.0	0.0	0.0	0.0	0.0	53.0	0.0	3828.0	0.0	0.0	113.0	0.0	10.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
SRR16953355	2920.0	42.0	1080.0	0.0	3566.0	1677.0	9.0	53.0	38.0	0.0	7.0	63.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	12.0	11.0	25.0	6.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	340.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	640.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR16953358	4928.0	227.0	2917.0	0.0	3394.0	1743.0	643.0	89.0	13.0	0.0	60.0	30.0	94.0	0.0	16.0	36.0	0.0	0.0	0.0	18.0	134.0	34.0	19.0	411.0	0.0	12.0	0.0	0.0	0.0	67.0	155.0	20.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	182.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	3.0	0.0	0.0
SRR16953359	5930.0	389.0	3254.0	0.0	4131.0	2220.0	2493.0	112.0	0.0	0.0	136.0	30.0	102.0	46.0	97.0	108.0	0.0	9.0	0.0	103.0	73.0	54.0	47.0	124.0	0.0	22.0	0.0	44.0	0.0	45.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	519.0	0.0	0.0	11.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR16953360	7665.0	334.0	2854.0	0.0	6488.0	733.0	2954.0	17.0	282.0	0.0	68.0	81.0	30.0	16.0	8.0	88.0	0.0	0.0	8.0	30.0	169.0	136.0	0.0	197.0	0.0	69.0	0.0	252.0	0.0	174.0	224.0	77.0	21.0	34.0	66.0	0.0	12.0	0.0	4.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	7.0	1567.0	0.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR16953361	6251.0	152.0	6299.0	4.0	5344.0	2799.0	2529.0	98.0	12.0	0.0	84.0	63.0	193.0	11.0	8.0	29.0	5.0	0.0	0.0	34.0	82.0	27.0	0.0	429.0	0.0	32.0	0.0	197.0	0.0	13.0	291.0	0.0	0.0	0.0	63.0	0.0	13.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	12.0	0.0	12.0	0.0	0.0	0.0	0.0	16.0	0.0	2184.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
