#SampleID	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Myxococcota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Deinococcota	d__Bacteria;p__WPS-2	d__Bacteria;p__GAL15	d__Bacteria;p__MBNT15
SRR16953348	8067.0	338.0	5456.0	24.0	813.0	1401.0	78.0	748.0	175.0	297.0	26.0	18.0	145.0	101.0	0.0	22.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	80.0	17.0	0.0	0.0
SRR16953349	12243.0	442.0	3157.0	7.0	3001.0	2868.0	28.0	81.0	378.0	76.0	21.0	76.0	78.0	169.0	8.0	86.0	13.0	29.0	57.0	0.0	0.0	0.0	0.0	0.0	4475.0	150.0	0.0	0.0
SRR16953350	5544.0	214.0	1607.0	10.0	1228.0	2461.0	10.0	112.0	194.0	94.0	9.0	115.0	43.0	104.0	0.0	434.0	30.0	18.0	15.0	0.0	10.0	0.0	0.0	0.0	1064.0	47.0	0.0	0.0
SRR16953351	6466.0	224.0	1582.0	17.0	3145.0	1764.0	5.0	33.0	211.0	96.0	0.0	70.0	151.0	72.0	0.0	370.0	19.0	13.0	23.0	0.0	0.0	0.0	0.0	0.0	720.0	65.0	0.0	0.0
SRR16953352	27850.0	908.0	11702.0	56.0	4341.0	7470.0	249.0	56.0	1284.0	478.0	45.0	99.0	199.0	127.0	64.0	53.0	32.0	8.0	59.0	0.0	0.0	10.0	0.0	0.0	5006.0	192.0	0.0	0.0
SRR16953353	6185.0	273.0	3062.0	29.0	496.0	1529.0	10.0	34.0	302.0	151.0	23.0	9.0	13.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	295.0	37.0	0.0	0.0
SRR16953354	17954.0	673.0	5780.0	72.0	5541.0	3904.0	71.0	71.0	344.0	323.0	43.0	51.0	99.0	471.0	51.0	732.0	20.0	45.0	63.0	0.0	0.0	0.0	0.0	0.0	3828.0	113.0	0.0	0.0
SRR16953355	6486.0	42.0	1080.0	14.0	1740.0	9.0	53.0	63.0	27.0	12.0	30.0	3.0	17.0	0.0	340.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	640.0	0.0	0.0	0.0
SRR16953358	8322.0	294.0	2917.0	0.0	1809.0	737.0	89.0	47.0	477.0	48.0	16.0	20.0	153.0	0.0	25.0	155.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	182.0	0.0	0.0	3.0
SRR16953359	10061.0	434.0	3254.0	0.0	2358.0	2595.0	112.0	54.0	296.0	171.0	97.0	9.0	120.0	44.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	519.0	11.0	0.0	0.0
