#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR16953348	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Reference	
SRR16953349	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Dry	
SRR16953350	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Reference	
SRR16953351	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Dry	
SRR16953352	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Dry	
SRR16953353	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Reference	
SRR16953354	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Dry	
SRR16953355	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Reference	
SRR16953358	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Reference	
SRR16953359	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Reference	
SRR16953360	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Dry	
SRR16953361	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Reference	
SRR16953362	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Reference	
SRR16953363	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Reference	
SRR16953364	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Dry	
SRR16953365	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Reference	
SRR16953366	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Dry	
SRR16953368	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Dry	
SRR16953369	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Reference	
SRR16953370	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Dry	
SRR16953372	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Dry	
SRR16953374	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Dry	
SRR16953377	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Reference	
SRR16953379	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Dry	
SRR16953380	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Reference	
SRR16953381	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Dry	
SRR16953382	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Reference	
SRR16953384	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Reference	
SRR16953385	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Reference	
SRR16953387	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Dry	
SRR16953388	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Dry	
SRR16953389	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Dry	
SRR16953391	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Dry	
SRR16953392	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Reference	
SRR16953393	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Dry	
SRR16953394	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Reference	
SRR16953397	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Dry	
SRR16953398	moore2023microbial	Moore et al. (2023)	Control	Soil	Soil	Bulk soil	Dry	
SRR16953399	moore2023microbial	Moore et al. (2023)	Drought	Soil	Soil	Bulk soil	Reference	
