#SampleID	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	d__Bacteria;p__Patescibacteria;c__Saccharimonadia	d__Bacteria;p__Planctomycetota;c__Phycisphaerae	d__Bacteria;p__Planctomycetota;c__Planctomycetes	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	d__Bacteria;p__Bdellovibrionota;c__Oligoflexia	d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia	d__Bacteria;p__Chloroflexi;c__Anaerolineae	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia	d__Bacteria;p__Firmicutes;c__Symbiobacteriia	d__Bacteria;p__Sumerlaeota;c__Sumerlaeia	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia	d__Bacteria;p__Chloroflexi;c__OLB14	d__Bacteria;p__Actinobacteriota;c__Actinobacteria	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia	d__Bacteria;p__Dependentiae;c__Babeliae	d__Bacteria;p__Cyanobacteria;c__Sericytochromatia	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes	d__Bacteria;p__Myxococcota;c__Polyangia	d__Bacteria;p__Patescibacteria;c__Parcubacteria	d__Bacteria;p__Bacteroidota;c__Bacteroidia	d__Bacteria;p__Planctomycetota;c__Pla4_lineage	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae	d__Bacteria;p__Firmicutes;c__Limnochordia	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae	d__Bacteria;p__Patescibacteria;c__Gracilibacteria	d__Bacteria;p__Firmicutes;c__Bacilli	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia	d__Bacteria;p__Patescibacteria;c__WWE3	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae	d__Bacteria;p__Myxococcota;c__Myxococcia	d__Bacteria;p__Armatimonadota;c__uncultured	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIa	d__Bacteria;p__Patescibacteria;c__ABY1	d__Bacteria;p__Planctomycetota;c__vadinHA49	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia	d__Bacteria;p__Chloroflexi;c__AD3	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia	d__Bacteria;p__Chloroflexi;c__Chloroflexia	d__Bacteria;p__Chloroflexi;c__TK10	d__Bacteria;p__Acidobacteriota;c__Blastocatellia	d__Bacteria;p__Chloroflexi;c__KD4-96	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria	d__Bacteria;p__Armatimonadota;c__Armatimonadia	d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group	d__Bacteria;p__Planctomycetota;c__OM190	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIb	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIc	d__Bacteria;p__Gemmatimonadota;c__Longimicrobia	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia	d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66	d__Bacteria;p__Patescibacteria;c__Berkelbacteria	d__Bacteria;p__WS2;c__WS2	d__Bacteria;p__Bacteroidota;c__Rhodothermia	d__Bacteria;p__Patescibacteria;c__Microgenomatia	d__Bacteria;p__Chloroflexi;c__Gitt-GS-136	d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group	d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia	d__Bacteria;p__Planctomycetota;c__BD7-11	d__Bacteria;p__Firmicutes;c__Clostridia	d__Bacteria;p__Abditibacteriota;c__Abditibacteria	d__Bacteria;p__Bacteroidota;c__Ignavibacteria	d__Bacteria;p__Desulfobacterota;c__uncultured	d__Bacteria;p__Firmicutes;c__Negativicutes	d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B)	d__Bacteria;p__Acidobacteriota;c__Subgroup_21	d__Bacteria;p__Halanaerobiaeota;c__Halanaerobiia	d__Bacteria;p__Acidobacteriota;c__Holophagae	d__Bacteria;p__FCPU426;c__FCPU426	d__Bacteria;p__Firmicutes;c__Sulfobacillia	d__Bacteria;p__Bacteroidota;c__Kapabacteria	d__Bacteria;p__Chloroflexi;c__Ktedonobacteria	d__Bacteria;p__WPS-2;c__WPS-2	d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia	d__Bacteria;p__Acidobacteriota;c__Subgroup_22	d__Bacteria;p__Latescibacterota;c__Latescibacterota	d__Bacteria;p__Armatimonadota;c__Chthonomonadetes	d__Bacteria;p__Myxococcota;c__bacteriap25	d__Bacteria;p__NB1-j;c__NB1-j	d__Bacteria;p__Deinococcota;c__Deinococci	d__Bacteria;p__Nitrospirota;c__Nitrospiria	d__Bacteria;p__Spirochaetota;c__Leptospirae	d__Bacteria;p__TX1A-33;c__TX1A-33	d__Bacteria;p__Chloroflexi;c__N9D0	d__Bacteria;p__Acidobacteriota;c__Subgroup_5	d__Bacteria;p__Firmicutes;c__Dethiobacteria	d__Bacteria;p__Acidobacteriota;c__Subgroup_11	d__Bacteria;p__Patescibacteria;c__Kazania	d__Bacteria;p__Dadabacteria;c__Dadabacteriia	d__Bacteria;p__Firmicutes;c__Desulfitobacteriia	d__Bacteria;p__MBNT15;c__MBNT15	d__Bacteria;p__Margulisbacteria;c__Margulisbacteria	d__Bacteria;p__Firmicutes;c__Desulfotomaculia
ERR4837291	13114.0	8.0	440.0	961.0	47.0	6810.0	14.0	18.0	215.0	1500.0	0.0	974.0	303.0	0.0	27.0	290.0	28.0	917.0	144.0	5.0	124.0	1503.0	3170.0	182.0	3069.0	7.0	168.0	0.0	53.0	7.0	1077.0	92.0	0.0	2505.0	0.0	158.0	78.0	0.0	10.0	3.0	0.0	0.0	63.0	36.0	116.0	42.0	93.0	14.0	0.0	283.0	421.0	0.0	0.0	682.0	0.0	19.0	0.0	0.0	0.0	17.0	0.0	69.0	9.0	17.0	0.0	7.0	15.0	0.0	0.0	0.0	0.0	0.0	183.0	6.0	0.0	37.0	0.0	0.0	22.0	37.0	9.0	0.0	0.0	7.0	0.0	78.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
ERR4837292	6963.0	26.0	356.0	1254.0	47.0	3544.0	103.0	34.0	193.0	1587.0	0.0	1294.0	325.0	0.0	46.0	709.0	12.0	1818.0	105.0	0.0	98.0	681.0	2052.0	104.0	2498.0	20.0	68.0	3.0	73.0	49.0	1595.0	198.0	5.0	1967.0	5.0	120.0	14.0	17.0	0.0	4.0	37.0	0.0	55.0	33.0	61.0	75.0	211.0	0.0	12.0	49.0	245.0	29.0	0.0	106.0	0.0	35.0	0.0	8.0	0.0	6.0	0.0	27.0	19.0	23.0	8.0	0.0	16.0	0.0	0.0	3.0	0.0	0.0	327.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	2.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0
ERR4837293	6562.0	4.0	154.0	614.0	16.0	5271.0	128.0	58.0	54.0	870.0	6.0	1493.0	174.0	0.0	30.0	118.0	41.0	108.0	147.0	4.0	47.0	786.0	1596.0	97.0	2733.0	0.0	15.0	0.0	67.0	15.0	1507.0	42.0	0.0	1838.0	0.0	147.0	35.0	7.0	7.0	0.0	0.0	0.0	34.0	74.0	83.0	33.0	20.0	0.0	5.0	90.0	164.0	0.0	0.0	210.0	0.0	20.0	0.0	17.0	0.0	2.0	0.0	28.0	16.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	20.0	0.0	9.0	17.0	16.0	6.0	5.0	0.0	0.0	0.0	10.0	23.0	56.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
ERR4837294	8368.0	0.0	249.0	1066.0	80.0	4130.0	127.0	43.0	159.0	1162.0	0.0	1253.0	224.0	0.0	9.0	1113.0	12.0	651.0	132.0	2.0	117.0	693.0	1829.0	54.0	1613.0	0.0	44.0	5.0	73.0	15.0	989.0	80.0	0.0	2717.0	7.0	338.0	34.0	3.0	42.0	0.0	7.0	0.0	68.0	70.0	46.0	121.0	125.0	0.0	0.0	139.0	252.0	0.0	0.0	282.0	3.0	32.0	0.0	17.0	0.0	0.0	5.0	27.0	44.0	20.0	0.0	5.0	9.0	0.0	0.0	0.0	0.0	0.0	393.0	0.0	0.0	6.0	0.0	6.0	3.0	0.0	12.0	0.0	0.0	0.0	0.0	57.0	5.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4837295	11742.0	5.0	202.0	981.0	102.0	5597.0	115.0	95.0	94.0	1351.0	5.0	812.0	164.0	0.0	36.0	418.0	29.0	240.0	205.0	13.0	230.0	629.0	2563.0	96.0	3021.0	23.0	31.0	0.0	101.0	37.0	1796.0	40.0	0.0	1679.0	0.0	109.0	55.0	0.0	12.0	0.0	2.0	0.0	78.0	55.0	79.0	74.0	67.0	11.0	0.0	157.0	164.0	17.0	0.0	304.0	0.0	39.0	0.0	16.0	23.0	9.0	0.0	106.0	7.0	4.0	0.0	0.0	42.0	3.0	0.0	0.0	0.0	0.0	256.0	7.0	0.0	10.0	0.0	7.0	10.0	20.0	25.0	0.0	4.0	0.0	0.0	22.0	17.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	2.0	0.0
ERR4837296	9645.0	7.0	208.0	1323.0	68.0	4276.0	128.0	56.0	182.0	1359.0	3.0	1549.0	231.0	0.0	14.0	1487.0	69.0	762.0	54.0	16.0	185.0	469.0	2861.0	20.0	2051.0	11.0	25.0	3.0	103.0	13.0	1437.0	43.0	0.0	2276.0	0.0	231.0	19.0	8.0	4.0	4.0	257.0	0.0	76.0	51.0	91.0	118.0	85.0	3.0	6.0	144.0	175.0	19.0	0.0	139.0	0.0	45.0	4.0	21.0	6.0	0.0	0.0	33.0	17.0	3.0	0.0	11.0	20.0	10.0	0.0	0.0	0.0	0.0	164.0	2.0	0.0	7.0	0.0	16.0	0.0	23.0	7.0	0.0	0.0	0.0	0.0	43.0	0.0	16.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0
ERR4837297	7800.0	43.0	641.0	1620.0	32.0	8019.0	293.0	45.0	417.0	4495.0	15.0	389.0	539.0	56.0	200.0	0.0	24.0	1084.0	302.0	36.0	79.0	2498.0	1860.0	324.0	6482.0	9.0	174.0	0.0	333.0	115.0	5341.0	278.0	13.0	1919.0	3.0	473.0	156.0	3.0	7.0	59.0	0.0	0.0	100.0	237.0	89.0	41.0	89.0	66.0	0.0	228.0	313.0	0.0	0.0	618.0	0.0	24.0	0.0	14.0	0.0	21.0	0.0	63.0	69.0	22.0	5.0	6.0	2.0	6.0	0.0	23.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	13.0	24.0	6.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0
ERR4837298	6463.0	29.0	298.0	1590.0	49.0	7065.0	198.0	98.0	176.0	2461.0	4.0	439.0	435.0	23.0	35.0	0.0	24.0	689.0	173.0	10.0	91.0	1032.0	2318.0	141.0	4490.0	0.0	14.0	0.0	121.0	71.0	3222.0	228.0	0.0	1260.0	6.0	267.0	126.0	0.0	52.0	0.0	4.0	0.0	107.0	137.0	62.0	37.0	79.0	23.0	9.0	109.0	234.0	0.0	0.0	648.0	0.0	54.0	0.0	0.0	3.0	0.0	0.0	53.0	75.0	28.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	9.0	0.0	5.0	0.0	0.0	14.0	7.0	0.0	3.0	0.0	0.0	0.0	12.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4837299	14410.0	23.0	577.0	1460.0	102.0	7278.0	133.0	58.0	420.0	2769.0	23.0	1992.0	537.0	0.0	59.0	1110.0	28.0	1992.0	239.0	23.0	87.0	1801.0	4021.0	277.0	4174.0	50.0	229.0	0.0	242.0	27.0	1844.0	144.0	0.0	3188.0	10.0	338.0	20.0	14.0	88.0	17.0	8.0	0.0	154.0	173.0	91.0	147.0	193.0	28.0	9.0	383.0	539.0	32.0	2.0	727.0	0.0	37.0	0.0	25.0	13.0	21.0	0.0	84.0	55.0	0.0	8.0	0.0	32.0	19.0	0.0	3.0	0.0	0.0	737.0	8.0	0.0	46.0	0.0	0.0	28.0	47.0	10.0	11.0	0.0	0.0	0.0	54.0	13.0	30.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4837300	8652.0	0.0	206.0	1345.0	77.0	4793.0	116.0	87.0	235.0	1577.0	3.0	2139.0	217.0	0.0	42.0	536.0	25.0	1143.0	123.0	9.0	155.0	755.0	4265.0	47.0	2598.0	22.0	64.0	5.0	97.0	5.0	1660.0	63.0	0.0	2671.0	8.0	348.0	36.0	17.0	6.0	0.0	3.0	0.0	190.0	85.0	78.0	135.0	183.0	0.0	6.0	139.0	164.0	36.0	5.0	292.0	0.0	32.0	3.0	48.0	8.0	0.0	0.0	39.0	52.0	19.0	7.0	0.0	23.0	0.0	0.0	2.0	0.0	0.0	283.0	0.0	0.0	18.0	0.0	11.0	17.0	30.0	16.0	10.0	0.0	0.0	0.0	32.0	21.0	26.0	0.0	15.0	2.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0
