#SampleID	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__WS2	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Halanaerobiaeota	d__Bacteria;p__FCPU426	d__Bacteria;p__WPS-2	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Latescibacterota	d__Bacteria;p__NB1-j	d__Bacteria;p__Deinococcota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__TX1A-33	d__Bacteria;p__Dadabacteria	d__Bacteria;p__MBNT15	d__Bacteria;p__Margulisbacteria
ERR4837291	19924.0	255.0	1888.0	1323.0	158.0	142.0	1435.0	1681.0	233.0	1077.0	27.0	3267.0	5.0	2537.0	3328.0	3121.0	170.0	63.0	14.0	0.0	0.0	7.0	0.0	0.0	6.0	0.0	22.0	9.0	7.0	0.0	78.0	10.0	0.0	0.0	11.0	0.0
ERR4837292	10507.0	197.0	1914.0	1705.0	208.0	169.0	2336.0	1679.0	250.0	1606.0	46.0	3165.0	0.0	863.0	2172.0	2525.0	237.0	101.0	0.0	0.0	8.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	47.0	0.0	0.0	0.0	7.0	0.0
ERR4837293	11833.0	145.0	932.0	1761.0	275.0	105.0	336.0	901.0	180.0	1507.0	30.0	2174.0	4.0	1114.0	1743.0	2753.0	87.0	41.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	9.0	17.0	6.0	0.0	0.0	10.0	23.0	56.0	0.0	5.0	0.0
ERR4837294	12498.0	111.0	1587.0	1641.0	259.0	167.0	1034.0	1257.0	327.0	994.0	9.0	4437.0	2.0	1141.0	2167.0	1628.0	114.0	71.0	0.0	3.0	17.0	5.0	0.0	0.0	0.0	6.0	3.0	12.0	0.0	0.0	57.0	5.0	24.0	0.0	0.0	0.0
ERR4837295	17339.0	167.0	1387.0	1195.0	320.0	327.0	498.0	1389.0	273.0	1796.0	36.0	2586.0	13.0	1200.0	2676.0	3096.0	95.0	95.0	11.0	0.0	16.0	0.0	0.0	0.0	7.0	7.0	10.0	25.0	0.0	0.0	22.0	17.0	32.0	0.0	7.0	2.0
ERR4837296	13921.0	50.0	1724.0	1966.0	182.0	498.0	1175.0	1401.0	492.0	1440.0	14.0	4186.0	16.0	785.0	3095.0	2084.0	68.0	103.0	3.0	0.0	21.0	11.0	0.0	0.0	2.0	16.0	0.0	7.0	0.0	0.0	43.0	0.0	16.0	0.0	25.0	0.0
ERR4837297	15819.0	536.0	2664.0	900.0	595.0	124.0	2040.0	4741.0	740.0	5402.0	200.0	2317.0	36.0	3407.0	2333.0	6484.0	434.0	103.0	66.0	0.0	14.0	6.0	23.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	12.0	13.0	24.0	23.0	0.0	0.0
ERR4837298	13528.0	356.0	2152.0	844.0	371.0	193.0	1300.0	2556.0	278.0	3247.0	35.0	1430.0	10.0	1842.0	2585.0	4498.0	366.0	107.0	23.0	0.0	0.0	0.0	2.0	0.0	9.0	0.0	14.0	0.0	0.0	0.0	12.0	0.0	42.0	0.0	0.0	0.0
ERR4837299	21688.0	436.0	2648.0	2625.0	372.0	153.0	2949.0	3063.0	670.0	1852.0	59.0	5508.0	23.0	2995.0	4362.0	4265.0	184.0	202.0	28.0	0.0	25.0	0.0	3.0	0.0	8.0	0.0	28.0	10.0	0.0	0.0	54.0	13.0	30.0	0.0	0.0	0.0
ERR4837300	13445.0	68.0	1756.0	2631.0	239.0	245.0	1595.0	1701.0	380.0	1674.0	42.0	3774.0	9.0	1225.0	4619.0	2647.0	115.0	248.0	0.0	0.0	48.0	0.0	2.0	0.0	0.0	11.0	17.0	16.0	0.0	0.0	32.0	21.0	26.0	0.0	10.0	0.0
