#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
ERR4837291	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Reference	
ERR4837292	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Dry	
ERR4837293	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Reference	
ERR4837294	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Dry	
ERR4837295	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Reference	
ERR4837296	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Dry	
ERR4837297	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Sterile	
ERR4837298	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Sterile	
ERR4837299	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Dry	
ERR4837300	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Dry	
ERR4837301	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Reference	
ERR4837302	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Reference	
ERR4837303	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Reference	
ERR4837304	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Sterile	
ERR4837305	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Reference	
ERR4837306	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Sterile	
ERR4837307	munoz-ucros2022drought	Munoz-Ucros et al. (2022)	Control	Fabids	Salix purpurea	Rhizosphere	Sterile	
