#SampleID	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIa	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	d__Bacteria;p__Myxococcota;c__Polyangia	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	d__Bacteria;p__Chloroflexi;c__Chloroflexia	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae	d__Bacteria;p__Bacteroidota;c__Bacteroidia	d__Bacteria;p__Actinobacteriota;c__Actinobacteria	d__Bacteria;p__Firmicutes;c__Bacilli	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae	d__Bacteria;p__Myxococcota;c__Myxococcia	d__Bacteria;p__Nitrospirota;c__Nitrospiria	d__Bacteria;p__Patescibacteria;c__Berkelbacteria	d__Bacteria;p__Chloroflexi;c__Anaerolineae	d__Bacteria;p__Bdellovibrionota;c__Oligoflexia	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia	d__Bacteria;p__Chloroflexi;c__Ktedonobacteria	d__Bacteria;p__Patescibacteria;c__Saccharimonadia	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIb	d__Bacteria;p__Dependentiae;c__Babeliae	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia	d__Bacteria;p__Patescibacteria;c__Parcubacteria	d__Bacteria;p__Gemmatimonadota;c__Longimicrobia	d__Bacteria;p__Planctomycetota;c__Phycisphaerae	d__Bacteria;p__Acidobacteriota;c__Blastocatellia	d__Bacteria;p__Acidobacteriota;c__Holophagae	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia	d__Bacteria;p__Patescibacteria;c__Gracilibacteria	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia	d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia	d__Bacteria;p__Firmicutes;c__Clostridia	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia	d__Bacteria;p__Chloroflexi;c__TK10	d__Bacteria;p__Bacteroidota;c__Kapabacteria	d__Bacteria;p__WPS-2;c__WPS-2	d__Bacteria;p__Planctomycetota;c__BD7-11	d__Bacteria;p__Spirochaetota;c__Spirochaetia	d__Bacteria;p__Entotheonellaeota;c__Entotheonellia	d__Bacteria;p__Chloroflexi;c__OLB14	d__Bacteria;p__Firmicutes;c__Negativicutes	d__Bacteria;p__Acidobacteriota;c__Subgroup_5	d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group	d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B)	d__Bacteria;p__Deinococcota;c__Deinococci	d__Bacteria;p__Planctomycetota;c__Planctomycetes	d__Bacteria;p__Abditibacteriota;c__Abditibacteria	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria	d__Bacteria;p__Chloroflexi;c__KD4-96	d__Bacteria;p__Planctomycetota;c__vadinHA49	d__Bacteria;p__RCP2-54;c__RCP2-54	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia	d__Bacteria;p__Cyanobacteria;c__Sericytochromatia	d__Bacteria;p__Desulfobacterota;c__uncultured	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	d__Bacteria;p__Sumerlaeota;c__Sumerlaeia	d__Bacteria;p__Myxococcota;c__bacteriap25	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia	d__Bacteria;p__Gemmatimonadota;c__AKAU4049	d__Bacteria;p__Actinobacteriota;c__MB-A2-108	d__Bacteria;p__Spirochaetota;c__Leptospirae	d__Bacteria;p__Firmicutes;c__BRH-c20a	d__Bacteria;p__Chloroflexi;c__Gitt-GS-136	d__Bacteria;p__Chloroflexi;c__AD3	d__Bacteria;p__Bacteroidota;c__Ignavibacteria	d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group	d__Bacteria;p__Firmicutes;c__Desulfitobacteriia	d__Bacteria;p__Patescibacteria;c__Microgenomatia	d__Bacteria;p__Bacteroidota;c__Rhodothermia	d__Bacteria;p__Planctomycetota;c__Pla4_lineage	d__Bacteria;p__Planctomycetota;c__OM190	d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIc	d__Bacteria;p__Patescibacteria;c__Kazania	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	d__Bacteria;p__Acidobacteriota;c__Subgroup_25	d__Bacteria;p__Patescibacteria;c__CPR2	d__Bacteria;p__Latescibacterota;c__Latescibacterota	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia	d__Bacteria;p__Patescibacteria;c__ABY1	d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia	d__Bacteria;p__Acidobacteriota;c__Subgroup_22
SRR5224546	15.0	0.0	2536.0	661.0	1712.0	24.0	1966.0	4084.0	2319.0	637.0	529.0	209.0	9.0	210.0	351.0	131.0	98.0	85.0	35.0	487.0	283.0	1152.0	18.0	85.0	33.0	132.0	488.0	0.0	140.0	567.0	104.0	15.0	278.0	192.0	9.0	0.0	17.0	149.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224547	0.0	0.0	4391.0	1350.0	1666.0	94.0	3956.0	3991.0	4219.0	1645.0	155.0	310.0	49.0	312.0	349.0	40.0	58.0	10.0	8.0	455.0	462.0	927.0	139.0	26.0	5.0	172.0	87.0	0.0	178.0	512.0	94.0	0.0	274.0	135.0	0.0	102.0	26.0	35.0	0.0	32.0	90.0	0.0	0.0	106.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224548	0.0	0.0	3114.0	567.0	603.0	0.0	2148.0	218.0	3997.0	360.0	0.0	0.0	0.0	103.0	0.0	0.0	23.0	0.0	17.0	45.0	34.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224549	0.0	21.0	2143.0	316.0	723.0	27.0	1302.0	2516.0	782.0	1825.0	443.0	894.0	0.0	211.0	214.0	0.0	0.0	154.0	36.0	396.0	20.0	507.0	30.0	0.0	0.0	47.0	0.0	0.0	96.0	112.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	233.0	0.0	60.0	12.0	0.0	0.0	0.0	0.0	22.0	0.0	16.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224550	0.0	20.0	2542.0	492.0	989.0	37.0	2825.0	2911.0	2805.0	3462.0	686.0	243.0	0.0	271.0	228.0	0.0	81.0	0.0	0.0	487.0	129.0	308.0	54.0	7.0	0.0	50.0	0.0	0.0	99.0	269.0	98.0	11.0	37.0	80.0	0.0	0.0	0.0	146.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224551	0.0	0.0	1507.0	144.0	264.0	0.0	2272.0	825.0	2761.0	1619.0	98.0	55.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	602.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224552	24.0	46.0	3635.0	1265.0	1669.0	111.0	3709.0	4756.0	2939.0	1838.0	212.0	427.0	0.0	681.0	353.0	38.0	228.0	311.0	85.0	549.0	648.0	1434.0	55.0	69.0	26.0	165.0	129.0	19.0	158.0	647.0	0.0	22.0	516.0	113.0	0.0	0.0	0.0	193.0	0.0	47.0	142.0	0.0	0.0	0.0	0.0	21.0	0.0	82.0	19.0	4.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224553	0.0	0.0	4454.0	1509.0	1279.0	0.0	2904.0	3533.0	4424.0	740.0	384.0	0.0	0.0	336.0	254.0	0.0	48.0	16.0	102.0	120.0	226.0	929.0	19.0	0.0	0.0	30.0	81.0	0.0	127.0	613.0	91.0	0.0	238.0	141.0	0.0	0.0	0.0	26.0	0.0	0.0	76.0	0.0	0.0	92.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224554	0.0	0.0	2287.0	689.0	445.0	0.0	1679.0	529.0	3867.0	321.0	10.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	64.0	13.0	19.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	172.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224555	23.0	0.0	2510.0	576.0	588.0	0.0	1830.0	3744.0	1058.0	1731.0	210.0	531.0	0.0	313.0	224.0	0.0	7.0	8.0	0.0	672.0	181.0	444.0	72.0	0.0	0.0	31.0	0.0	0.0	71.0	238.0	165.0	0.0	0.0	71.0	0.0	131.0	0.0	282.0	0.0	52.0	10.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
