#SampleID	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__WPS-2	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Deinococcota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__RCP2-54	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Latescibacterota
SRR5224546	100.0	846.0	4502.0	871.0	1721.0	624.0	5225.0	2447.0	678.0	351.0	958.0	120.0	1152.0	18.0	33.0	132.0	140.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224547	26.0	1955.0	8347.0	1680.0	1715.0	712.0	5084.0	4309.0	190.0	349.0	609.0	18.0	927.0	139.0	5.0	172.0	183.0	110.0	26.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224548	0.0	360.0	5262.0	670.0	603.0	68.0	230.0	3997.0	0.0	0.0	34.0	17.0	0.0	102.0	0.0	0.0	0.0	0.0	16.0	0.0	148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224549	0.0	2740.0	3445.0	527.0	723.0	532.0	2710.0	794.0	676.0	214.0	20.0	190.0	507.0	30.0	0.0	47.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0
SRR5224550	7.0	3725.0	5367.0	763.0	989.0	628.0	3416.0	2813.0	832.0	228.0	129.0	0.0	308.0	54.0	0.0	50.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224551	0.0	1674.0	3779.0	144.0	264.0	610.0	984.0	2761.0	98.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224552	104.0	2311.0	7344.0	1946.0	1669.0	1067.0	6114.0	3081.0	405.0	353.0	815.0	417.0	1472.0	55.0	26.0	165.0	158.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224553	0.0	740.0	7358.0	1845.0	1279.0	168.0	4659.0	4500.0	410.0	254.0	327.0	118.0	929.0	19.0	0.0	30.0	145.0	20.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224554	0.0	321.0	3966.0	720.0	445.0	55.0	574.0	3867.0	10.0	0.0	102.0	64.0	0.0	18.0	0.0	0.0	0.0	0.0	10.0	0.0	172.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224555	23.0	2262.0	4340.0	889.0	588.0	743.0	4218.0	1068.0	492.0	224.0	193.0	8.0	444.0	72.0	0.0	31.0	71.0	131.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
