#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR5224546	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224547	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Bothriochloa bladhii	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224548	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Bothriochloa bladhii	Endosphere	Not available for this type of experiment	341F,785R
SRR5224549	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224550	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Bothriochloa bladhii	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224551	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Bothriochloa bladhii	Endosphere	Not available for this type of experiment	341F,785R
SRR5224552	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224553	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghastrum nutans	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224554	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghastrum nutans	Endosphere	Not available for this type of experiment	341F,785R
SRR5224555	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224556	naylor2017drought	Naylor et al. (2017)	Drought	Asterids	Solanum lycopersicum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224558	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224559	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Brachypodium distachyon	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224560	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Brachypodium distachyon	Endosphere	Not available for this type of experiment	341F,785R
SRR5224561	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224562	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Avena sativa	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224563	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Avena sativa	Endosphere	Not available for this type of experiment	341F,785R
SRR5224564	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224565	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Avena sativa	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224567	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224568	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224569	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghum bicolor	Endosphere	Not available for this type of experiment	341F,785R
SRR5224570	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224571	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224573	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224574	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum monococcum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224575	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum monococcum	Endosphere	Not available for this type of experiment	341F,785R
SRR5224576	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224577	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum monococcum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224579	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224580	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Secale cereale	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224581	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Secale cereale	Endosphere	Not available for this type of experiment	341F,785R
SRR5224582	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224583	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Secale cereale	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224585	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224586	naylor2017drought	Naylor et al. (2017)	Control	Asterids	Solanum lycopersicum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224587	naylor2017drought	Naylor et al. (2017)	Control	Asterids	Solanum lycopersicum	Endosphere	Not available for this type of experiment	341F,785R
SRR5224588	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224589	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224590	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	341F,785R
SRR5224591	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224592	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224593	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	341F,785R
SRR5224594	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224597	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224598	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224599	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Sorghum bicolor	Endosphere	Not available for this type of experiment	341F,785R
SRR5224600	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224601	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224603	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224604	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum turgidum	Endosphere	Not available for this type of experiment	341F,785R
SRR5224605	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224607	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Hordeum vulgare	Endosphere	Not available for this type of experiment	341F,785R
SRR5224608	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224609	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Hordeum vulgare	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224610	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Hordeum vulgare	Endosphere	Not available for this type of experiment	341F,785R
SRR5224611	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224614	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224617	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224618	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224619	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	341F,785R
SRR5224620	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224622	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224623	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Zea mays	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224624	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Zea mays	Endosphere	Not available for this type of experiment	341F,785R
SRR5224625	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224628	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224629	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Eragrostis tef	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224630	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Eragrostis tef	Endosphere	Not available for this type of experiment	341F,785R
SRR5224631	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224632	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Eragrostis tef	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224633	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Eragrostis tef	Endosphere	Not available for this type of experiment	341F,785R
SRR5224634	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224635	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Miscanthus sinensis	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224636	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Miscanthus sinensis	Endosphere	Not available for this type of experiment	341F,785R
SRR5224637	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Lolium arundinaceum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224638	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Lolium arundinaceum	Endosphere	Not available for this type of experiment	341F,785R
SRR5224639	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224640	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Lolium arundinaceum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224641	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Lolium arundinaceum	Endosphere	Not available for this type of experiment	341F,785R
SRR5224642	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224643	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Cenchrus americanus	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224644	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Cenchrus americanus	Endosphere	Not available for this type of experiment	341F,785R
SRR5224645	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224646	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Cenchrus americanus	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224648	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224660	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224672	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224682	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224694	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224697	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224699	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	341F,785R
SRR5224710	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Zea mays	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5224718	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224721	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224730	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5224742	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
