#SampleID	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Firmicutes	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__WS4	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Myxococcota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__MBNT15	d__Bacteria;p__Zixibacteria	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Deferrisomatota	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Sva0485	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Deinococcota	d__Bacteria;p__WS1	d__Bacteria;p__Margulisbacteria	d__Bacteria;p__Dependentiae	d__Bacteria;p__FCPU426	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Modulibacteria	d__Bacteria;p__Campylobacterota	d__Bacteria;p__WOR-1	d__Bacteria;p__WPS-2	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__LCP-89	d__Bacteria;p__TX1A-33	d__Bacteria;p__WS2	d__Bacteria;p__DTB120	d__Bacteria;p__FW113	d__Bacteria;p__NB1-j	d__Bacteria;p__GAL15	d__Bacteria;p__CK-2C2-2	d__Bacteria;p__Nitrospinota	d__Bacteria;p__RCP2-54
SRR5532616	429.0	247.0	1068.0	421.0	329.0	33.0	4164.0	7626.0	1140.0	15.0	5369.0	3844.0	364.0	9568.0	0.0	4.0	168.0	1543.0	47.0	137.0	6.0	28.0	6.0	0.0	3.0	0.0	4.0	68.0	80.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532617	33.0	340.0	616.0	436.0	188.0	14.0	3844.0	7010.0	2340.0	84.0	4407.0	3250.0	413.0	7950.0	0.0	1.0	45.0	4609.0	10.0	221.0	47.0	11.0	0.0	32.0	6.0	0.0	0.0	23.0	123.0	0.0	6.0	0.0	0.0	11.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	9.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0
SRR5532618	53.0	118.0	545.0	772.0	140.0	1.0	2356.0	7420.0	1471.0	120.0	4398.0	1816.0	317.0	8650.0	2.0	12.0	104.0	5264.0	63.0	170.0	20.0	4.0	28.0	30.0	7.0	0.0	0.0	59.0	364.0	7.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532619	267.0	2474.0	788.0	1102.0	939.0	1.0	2588.0	8002.0	1315.0	127.0	5859.0	4213.0	527.0	7909.0	0.0	0.0	341.0	1146.0	48.0	16.0	195.0	79.0	20.0	42.0	11.0	0.0	0.0	129.0	311.0	0.0	58.0	1.0	8.0	40.0	7.0	7.0	24.0	397.0	0.0	5.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532620	34.0	831.0	950.0	2284.0	211.0	14.0	1212.0	5581.0	1636.0	63.0	2809.0	1317.0	344.0	5036.0	0.0	32.0	4182.0	2644.0	31.0	108.0	46.0	44.0	20.0	63.0	38.0	2.0	0.0	67.0	230.0	3.0	13.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532621	521.0	456.0	1282.0	328.0	211.0	15.0	4538.0	6870.0	1698.0	11.0	3924.0	4404.0	136.0	10449.0	0.0	0.0	181.0	916.0	113.0	174.0	3.0	18.0	0.0	0.0	0.0	0.0	0.0	28.0	87.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532622	25.0	465.0	617.0	507.0	179.0	0.0	4396.0	11094.0	1968.0	79.0	4376.0	4381.0	272.0	7425.0	0.0	4.0	91.0	4648.0	97.0	282.0	12.0	13.0	0.0	39.0	9.0	0.0	0.0	19.0	137.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0
SRR5532623	95.0	125.0	577.0	946.0	199.0	2.0	2332.0	9608.0	2180.0	244.0	4400.0	1914.0	427.0	11639.0	5.0	18.0	532.0	5077.0	69.0	207.0	9.0	22.0	11.0	30.0	12.0	0.0	0.0	107.0	357.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532624	50.0	969.0	826.0	586.0	598.0	36.0	3268.0	4633.0	962.0	48.0	6428.0	4882.0	460.0	7877.0	0.0	0.0	43.0	920.0	19.0	13.0	158.0	68.0	17.0	25.0	35.0	0.0	0.0	259.0	178.0	0.0	11.0	2.0	0.0	7.0	3.0	0.0	32.0	0.0	0.0	27.0	83.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532625	20.0	4262.0	700.0	1237.0	341.0	29.0	2590.0	6479.0	1553.0	92.0	3538.0	4771.0	284.0	5655.0	0.0	0.0	104.0	3701.0	88.0	55.0	187.0	66.0	0.0	52.0	6.0	0.0	0.0	40.0	75.0	0.0	11.0	4.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	30.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532626	66.0	274.0	588.0	989.0	203.0	17.0	1834.0	8436.0	1428.0	92.0	3038.0	1838.0	337.0	9976.0	0.0	7.0	242.0	4324.0	26.0	85.0	0.0	3.0	22.0	14.0	301.0	0.0	0.0	85.0	145.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532627	48.0	420.0	1191.0	1771.0	131.0	23.0	4572.0	14115.0	1596.0	51.0	6441.0	832.0	491.0	7619.0	0.0	13.0	158.0	4762.0	23.0	18.0	0.0	27.0	13.0	40.0	242.0	0.0	0.0	50.0	70.0	0.0	7.0	5.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532628	51.0	1095.0	687.0	1077.0	584.0	31.0	3763.0	8378.0	1331.0	44.0	4187.0	707.0	199.0	5658.0	0.0	14.0	85.0	2869.0	13.0	49.0	0.0	8.0	15.0	17.0	199.0	0.0	0.0	80.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532629	42.0	478.0	1222.0	1980.0	268.0	27.0	6204.0	14658.0	2121.0	88.0	6158.0	1052.0	663.0	8659.0	0.0	12.0	206.0	4599.0	19.0	17.0	1.0	21.0	20.0	63.0	461.0	0.0	0.0	78.0	62.0	0.0	20.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532630	104.0	457.0	578.0	1129.0	483.0	13.0	4825.0	9975.0	649.0	10.0	5078.0	1109.0	159.0	1771.0	0.0	0.0	21.0	3235.0	2.0	28.0	25.0	20.0	0.0	21.0	63.0	0.0	0.0	13.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5532631	33.0	799.0	555.0	1612.0	311.0	0.0	7722.0	9601.0	762.0	11.0	6669.0	2026.0	195.0	2753.0	0.0	0.0	16.0	3679.0	4.0	13.0	27.0	11.0	0.0	39.0	135.0	0.0	0.0	3.0	36.0	0.0	19.0	1.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	11.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
