#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR5532616	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532617	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532618	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532619	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532620	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532621	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532622	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532623	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532624	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532625	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532626	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532627	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532628	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532629	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532630	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532631	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532632	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532633	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532634	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532635	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532636	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532637	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532638	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532639	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532640	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532641	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532642	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532644	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532645	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532649	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532650	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532651	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532652	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532653	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532654	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532655	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532656	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532659	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532663	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532664	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532665	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532666	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532667	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532668	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532669	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532670	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532671	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532672	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532673	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532674	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532675	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532676	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532677	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
