#SampleID	d__Bacteria;p__Firmicutes	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Myxococcota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__WS4	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__FCPU426	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Zixibacteria	d__Bacteria;p__Margulisbacteria	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Deferrisomatota	d__Bacteria;p__LCP-89	d__Bacteria;p__WPS-2	d__Bacteria;p__Campylobacterota	d__Bacteria;p__MBNT15	d__Bacteria;p__GAL15	d__Bacteria;p__WOR-1	d__Bacteria;p__WS2	d__Bacteria;p__Deinococcota	d__Bacteria;p__NB1-j	d__Bacteria;p__Dependentiae	d__Bacteria;p__CK-2C2-2	d__Bacteria;p__TX1A-33	d__Bacteria;p__WS1	d__Bacteria;p__Modulibacteria	d__Bacteria;p__DTB120	d__Bacteria;p__Sva0485
SRR9612324	263.0	1065.0	1417.0	204.0	2140.0	6464.0	3530.0	1883.0	43.0	1963.0	376.0	553.0	59.0	273.0	13.0	0.0	14.0	49.0	21.0	512.0	3.0	295.0	151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
SRR9612325	509.0	709.0	1155.0	216.0	2091.0	4974.0	4326.0	3724.0	31.0	2691.0	781.0	714.0	57.0	280.0	12.0	11.0	46.0	42.0	25.0	252.0	16.0	224.0	75.0	0.0	0.0	0.0	34.0	2.0	0.0	7.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	3.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612326	480.0	5406.0	3148.0	509.0	4563.0	10375.0	17110.0	4839.0	260.0	8605.0	2257.0	1748.0	93.0	1011.0	177.0	0.0	170.0	381.0	76.0	543.0	191.0	470.0	186.0	5.0	0.0	0.0	15.0	9.0	0.0	6.0	3.0	0.0	0.0	0.0	35.0	0.0	3.0	0.0	43.0	0.0	18.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612327	918.0	2953.0	5333.0	865.0	5944.0	14277.0	10989.0	8209.0	70.0	6307.0	1590.0	1905.0	135.0	1123.0	58.0	73.0	256.0	145.0	82.0	1253.0	56.0	930.0	413.0	0.0	0.0	0.0	43.0	0.0	4.0	0.0	7.0	16.0	0.0	0.0	32.0	0.0	0.0	0.0	11.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612328	299.0	1113.0	64.0	3.0	3.0	337.0	4437.0	6938.0	7.0	1287.0	835.0	72.0	52.0	2606.0	40.0	0.0	2.0	80.0	0.0	5.0	38.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612329	85.0	6722.0	38.0	5.0	22.0	496.0	7657.0	5892.0	16.0	2775.0	771.0	121.0	20.0	811.0	72.0	0.0	2.0	625.0	0.0	3.0	22.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612330	141.0	1413.0	1408.0	230.0	2163.0	6539.0	3017.0	2393.0	22.0	2194.0	238.0	544.0	29.0	279.0	5.0	0.0	18.0	40.0	29.0	810.0	17.0	467.0	355.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612331	104.0	779.0	1032.0	150.0	2236.0	4285.0	4206.0	1430.0	33.0	1347.0	445.0	490.0	24.0	178.0	12.0	0.0	283.0	70.0	13.0	285.0	28.0	314.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612332	208.0	683.0	34.0	5.0	75.0	368.0	5366.0	839.0	35.0	2761.0	986.0	307.0	3.0	106.0	0.0	0.0	3.0	638.0	0.0	0.0	35.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612333	348.0	1045.0	5.0	0.0	9.0	519.0	6363.0	16619.0	18.0	1805.0	921.0	140.0	34.0	1165.0	64.0	0.0	4.0	130.0	0.0	0.0	31.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
