#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR9612324	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612325	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612326	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612327	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612328	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612329	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612330	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612331	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612332	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612333	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612334	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612335	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612336	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612337	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612338	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612339	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612340	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612341	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612342	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612343	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612344	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612346	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612347	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612348	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612350	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612351	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612352	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612353	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612354	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612355	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612356	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612357	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612358	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612363	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612364	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612365	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612366	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612367	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612368	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612369	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612370	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612371	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612372	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612373	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612374	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612375	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
