#SampleID	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria	d__Bacteria;p__Bacteroidota;c__Bacteroidia	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes	d__Bacteria;p__Planctomycetota;c__Phycisphaerae	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia	d__Bacteria;p__Myxococcota;c__Myxococcia	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	d__Bacteria;p__Actinobacteriota;c__Actinobacteria	d__Bacteria;p__Patescibacteria;c__Saccharimonadia	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia	d__Bacteria;p__Firmicutes;c__Bacilli	d__Bacteria;p__Chloroflexi;c__Ktedonobacteria	d__Bacteria;p__Patescibacteria;c__Parcubacteria	d__Bacteria;p__Acidobacteriota;c__Blastocatellia	d__Bacteria;p__Chloroflexi;c__KD4-96	d__Bacteria;p__Myxococcota;c__Polyangia	d__Bacteria;p__Chloroflexi;c__OLB14	d__Bacteria;p__Chloroflexi;c__Anaerolineae	d__Bacteria;p__Chloroflexi;c__Chloroflexia	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia	d__Bacteria;p__Nitrospirota;c__Nitrospiria	d__Bacteria;p__Bacteroidota;c__Kapabacteria	d__Bacteria;p__Patescibacteria;c__Berkelbacteria	d__Bacteria;p__Cyanobacteria;c__Sericytochromatia	d__Bacteria;p__Chloroflexi;c__TK10	d__Bacteria;p__Firmicutes;c__Clostridia	d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66	d__Bacteria;p__Planctomycetota;c__vadinHA49	d__Bacteria;p__Firmicutes;c__Desulfitobacteriia	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia	d__Bacteria;p__Bdellovibrionota;c__Oligoflexia	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia	d__Bacteria;p__Firmicutes;c__Negativicutes	d__Bacteria;p__Acidobacteriota;c__Holophagae	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIb	d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B)	d__Bacteria;p__Firmicutes;c__Limnochordia	d__Bacteria;p__Deinococcota;c__Deinococci	d__Bacteria;p__Dependentiae;c__Babeliae	d__Bacteria;p__RCP2-54;c__RCP2-54	d__Bacteria;p__Planctomycetota;c__BD7-11	d__Bacteria;p__Gemmatimonadota;c__Longimicrobia	d__Bacteria;p__Desulfobacterota;c__uncultured	d__Bacteria;p__WPS-2;c__WPS-2	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae	d__Bacteria;p__Myxococcota;c__bacteriap25	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia	d__Bacteria;p__Latescibacterota;c__Latescibacterota	d__Bacteria;p__Actinobacteriota;c__MB-A2-108	d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group	d__Bacteria;p__Abditibacteriota;c__Abditibacteria	d__Bacteria;p__Planctomycetota;c__Planctomycetes	d__Bacteria;p__Acidobacteriota;c__Subgroup_5	d__Bacteria;p__Spirochaetota;c__Spirochaetia	d__Bacteria;p__Sumerlaeota;c__Sumerlaeia	d__Bacteria;p__Chloroflexi;c__Gitt-GS-136	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia	d__Bacteria;p__Patescibacteria;c__Gracilibacteria	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIa	d__Bacteria;p__Spirochaetota;c__Leptospirae	d__Bacteria;p__TX1A-33;c__TX1A-33	d__Bacteria;p__Patescibacteria;c__Kazania	d__Bacteria;p__Firmicutes;c__Symbiobacteriia	d__Bacteria;p__Chloroflexi;c__AD3	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria	d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group	d__Bacteria;p__FCPU426;c__FCPU426	d__Bacteria;p__Acidobacteriota;c__Subgroup_25	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia	d__Bacteria;p__Planctomycetota;c__OM190	d__Bacteria;p__Halanaerobiaeota;c__Halanaerobiia	d__Bacteria;p__MBNT15;c__MBNT15	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia	d__Bacteria;p__WS2;c__WS2	d__Bacteria;p__Patescibacteria;c__ABY1	d__Bacteria;p__Bacteroidota;c__Ignavibacteria
SRR11143339	4974.0	575.0	2737.0	438.0	2315.0	3304.0	0.0	1109.0	748.0	87.0	0.0	780.0	912.0	371.0	59.0	1077.0	531.0	0.0	699.0	0.0	432.0	46.0	26.0	155.0	23.0	157.0	207.0	26.0	15.0	0.0	49.0	362.0	0.0	0.0	0.0	141.0	210.0	97.0	42.0	0.0	0.0	55.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143341	1014.0	48.0	2841.0	355.0	1348.0	2761.0	0.0	749.0	71.0	49.0	88.0	490.0	1767.0	461.0	0.0	381.0	45.0	0.0	193.0	0.0	164.0	0.0	0.0	45.0	0.0	185.0	132.0	21.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	40.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143342	1251.0	210.0	2226.0	812.0	903.0	2303.0	0.0	483.0	416.0	0.0	93.0	213.0	724.0	364.0	0.0	349.0	109.0	0.0	55.0	2.0	154.0	0.0	0.0	18.0	0.0	0.0	0.0	11.0	0.0	0.0	33.0	7.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143343	1615.0	572.0	2831.0	357.0	1789.0	3654.0	0.0	850.0	38.0	62.0	76.0	414.0	1415.0	196.0	11.0	362.0	183.0	0.0	270.0	0.0	275.0	0.0	4.0	32.0	0.0	25.0	0.0	11.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143344	1079.0	1349.0	2118.0	465.0	1086.0	2311.0	0.0	982.0	0.0	85.0	185.0	399.0	2455.0	143.0	137.0	94.0	228.0	0.0	38.0	279.0	308.0	0.0	0.0	122.0	0.0	0.0	114.0	14.0	0.0	0.0	0.0	15.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	16.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143345	608.0	402.0	2591.0	117.0	1019.0	2196.0	0.0	267.0	19.0	32.0	0.0	195.0	1839.0	57.0	0.0	580.0	240.0	0.0	0.0	0.0	116.0	0.0	0.0	73.0	0.0	17.0	27.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	13.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
SRR11143347	1602.0	557.0	2141.0	997.0	1392.0	2485.0	18.0	1189.0	233.0	79.0	410.0	298.0	1957.0	126.0	75.0	487.0	316.0	0.0	378.0	153.0	315.0	16.0	13.0	374.0	0.0	0.0	273.0	84.0	0.0	0.0	50.0	30.0	0.0	0.0	0.0	0.0	49.0	34.0	0.0	16.0	0.0	7.0	18.0	0.0	8.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	10.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143349	2056.0	1007.0	3532.0	943.0	1508.0	3562.0	0.0	1677.0	337.0	270.0	306.0	99.0	3505.0	183.0	98.0	584.0	264.0	0.0	715.0	296.0	612.0	48.0	26.0	396.0	0.0	0.0	349.0	40.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	3.0	0.0	36.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	7.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143350	940.0	572.0	1120.0	774.0	734.0	2113.0	0.0	815.0	8.0	46.0	323.0	169.0	1418.0	20.0	0.0	561.0	147.0	0.0	177.0	52.0	517.0	0.0	0.0	178.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143351	717.0	1593.0	2871.0	262.0	1106.0	3643.0	0.0	1551.0	152.0	140.0	551.0	183.0	5015.0	635.0	254.0	829.0	362.0	4.0	278.0	56.0	234.0	22.0	26.0	558.0	16.0	25.0	154.0	0.0	0.0	166.0	0.0	106.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	31.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
