#SampleID	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Firmicutes	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Deinococcota	d__Bacteria;p__Dependentiae	d__Bacteria;p__RCP2-54	d__Bacteria;p__WPS-2	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__TX1A-33	d__Bacteria;p__FCPU426	d__Bacteria;p__Halanaerobiaeota	d__Bacteria;p__MBNT15	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__WS2
SRR11143339	6198.0	1546.0	6041.0	2341.0	0.0	1109.0	795.0	451.0	780.0	386.0	1481.0	807.0	23.0	367.0	207.0	141.0	97.0	0.0	55.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143341	1611.0	1815.0	5602.0	1369.0	0.0	778.0	71.0	252.0	490.0	461.0	470.0	90.0	0.0	225.0	132.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143342	2118.0	934.0	4529.0	914.0	0.0	483.0	416.0	247.0	213.0	364.0	356.0	162.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143343	2328.0	1998.0	6485.0	1800.0	0.0	850.0	38.0	351.0	414.0	196.0	362.0	223.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143344	1667.0	3941.0	4429.0	1100.0	0.0	996.0	16.0	493.0	399.0	143.0	109.0	686.0	0.0	0.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143345	771.0	2261.0	4787.0	1019.0	0.0	267.0	19.0	116.0	195.0	57.0	580.0	338.0	0.0	17.0	27.0	0.0	0.0	0.0	0.0	13.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
SRR11143347	3096.0	2589.0	4626.0	1476.0	18.0	1212.0	233.0	725.0	298.0	131.0	535.0	922.0	0.0	49.0	273.0	0.0	34.0	0.0	7.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143349	3984.0	4638.0	7094.0	1548.0	0.0	1677.0	337.0	932.0	99.0	190.0	628.0	1049.0	0.0	0.0	349.0	3.0	36.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143350	1937.0	1990.0	3233.0	753.0	0.0	815.0	13.0	840.0	169.0	42.0	561.0	433.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143351	1397.0	6893.0	6514.0	1106.0	166.0	1561.0	152.0	785.0	183.0	639.0	953.0	1027.0	16.0	92.0	154.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
