#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR11143339	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Echinochloa esculenta	Rhizosphere	Not available for this type of experiment	341F,785R
SRR11143341	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR11143342	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR11143343	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR11143344	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR11143345	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Sorghum bicolor	Endosphere	Not available for this type of experiment	341F,785R
SRR11143347	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR11143349	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR11143350	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR11143351	simmons2020drought	Simmons et al. (2020)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR11143355	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Sorghum bicolor	Endosphere	Not available for this type of experiment	341F,785R
SRR11143356	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Echinochloa esculenta	Endosphere	Not available for this type of experiment	341F,785R
SRR11143359	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Echinochloa esculenta	Endosphere	Not available for this type of experiment	341F,785R
SRR11143363	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Echinochloa esculenta	Endosphere	Not available for this type of experiment	341F,785R
SRR11143365	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Echinochloa esculenta	Endosphere	Not available for this type of experiment	341F,785R
SRR11143372	simmons2020drought	Simmons et al. (2020)	Drought	PACMAD clade	Echinochloa esculenta	Endosphere	Not available for this type of experiment	341F,785R
SRR11143378	simmons2020drought	Simmons et al. (2020)	Drought	PACMAD clade	Echinochloa esculenta	Endosphere	Not available for this type of experiment	341F,785R
SRR11143380	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Echinochloa esculenta	Endosphere	Not available for this type of experiment	341F,785R
SRR11143386	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Echinochloa esculenta	Endosphere	Not available for this type of experiment	341F,785R
SRR11143388	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Echinochloa esculenta	Endosphere	Not available for this type of experiment	341F,785R
SRR11143389	simmons2020drought	Simmons et al. (2020)	Control	PACMAD clade	Echinochloa esculenta	Endosphere	Not available for this type of experiment	341F,785R
SRR11143392	simmons2020drought	Simmons et al. (2020)	Drought	PACMAD clade	Echinochloa esculenta	Endosphere	Not available for this type of experiment	341F,785R
