#SampleID	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Deinococcota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Myxococcota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Halanaerobiaeota	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__RCP2-54	d__Bacteria;p__WPS-2	d__Bacteria;p__WS2
SRR22815539	17272.0	26080.0	3.0	0.0	0.0	181.0	2357.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815560	14494.0	20262.0	0.0	0.0	0.0	107.0	1890.0	370.0	0.0	0.0	0.0	48.0	120.0	34.0	0.0	0.0	144.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815561	13515.0	51431.0	33.0	0.0	5.0	54.0	7691.0	1282.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	463.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
SRR22815571	14677.0	50696.0	44.0	0.0	0.0	1163.0	9706.0	248.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	326.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0
SRR22815574	1444.0	18455.0	119.0	56.0	0.0	276.0	348.0	50.0	0.0	20.0	0.0	0.0	0.0	48.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815591	13309.0	34515.0	0.0	37.0	0.0	101.0	2169.0	673.0	0.0	0.0	3.0	0.0	16.0	0.0	9.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815596	2734.0	34860.0	0.0	0.0	66.0	20.0	2969.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815602	34.0	10060.0	38.0	12.0	5.0	34.0	165.0	2.0	0.0	27.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815604	5732.0	11415.0	4.0	0.0	0.0	4.0	694.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815614	5280.0	23370.0	0.0	8.0	0.0	0.0	2741.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815616	5923.0	29164.0	175.0	69.0	86.0	978.0	8582.0	540.0	0.0	0.0	0.0	0.0	0.0	37.0	45.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815617	7146.0	27480.0	15.0	0.0	0.0	4.0	1846.0	6.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815624	2016.0	12651.0	0.0	0.0	0.0	75.0	769.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815625	13464.0	30663.0	96.0	0.0	30.0	156.0	6697.0	308.0	0.0	0.0	0.0	67.0	41.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815632	7807.0	15167.0	0.0	0.0	0.0	0.0	2575.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815639	13413.0	15204.0	0.0	0.0	0.0	203.0	2703.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815672	1750.0	7978.0	19.0	2.0	43.0	35.0	66.0	65.0	0.0	22.0	0.0	8.0	0.0	84.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
SRR22815676	6474.0	15136.0	14.0	45.0	36.0	1201.0	620.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0
SRR22815677	1274.0	10578.0	80.0	3.0	64.0	0.0	1874.0	52.0	3.0	16.0	0.0	6.0	15.0	80.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815693	504.0	11819.0	773.0	394.0	1612.0	0.0	2984.0	582.0	28.0	1092.0	0.0	12.0	1094.0	574.0	160.0	27.0	12.0	0.0	7.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
SRR22815694	1935.0	10381.0	63.0	51.0	77.0	71.0	2782.0	67.0	0.0	56.0	0.0	0.0	20.0	74.0	35.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815696	12668.0	41743.0	113.0	15.0	35.0	3816.0	2195.0	960.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0
SRR22815707	2437.0	35941.0	0.0	24.0	0.0	85.0	3434.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	47.0	0.0	0.0	0.0	120.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815739	12139.0	10914.0	297.0	300.0	472.0	775.0	2663.0	114.0	0.0	400.0	17.0	189.0	176.0	431.0	115.0	0.0	0.0	4.0	10.0	0.0	6.0	0.0	0.0	0.0	11.0	20.0	22.0	0.0	0.0	0.0	0.0
SRR22815740	8975.0	12829.0	549.0	259.0	314.0	1383.0	1324.0	280.0	0.0	495.0	0.0	117.0	112.0	129.0	77.0	0.0	82.0	11.0	12.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815741	3350.0	9061.0	52.0	58.0	66.0	0.0	110.0	79.0	0.0	23.0	0.0	8.0	2.0	119.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
SRR22815742	5794.0	4211.0	89.0	43.0	76.0	68.0	220.0	28.0	5.0	28.0	0.0	6.0	27.0	148.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815772	2538.0	7593.0	0.0	0.0	0.0	0.0	641.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22815779	6112.0	7729.0	194.0	140.0	119.0	459.0	306.0	162.0	0.0	179.0	0.0	0.0	47.0	460.0	35.0	14.0	40.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR22815781	6563.0	4954.0	166.0	116.0	28.0	305.0	673.0	261.0	0.0	117.0	0.0	0.0	34.0	203.0	0.0	5.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	8.0	0.0	0.0
SRR22815798	4010.0	7980.0	318.0	614.0	755.0	1625.0	2198.0	591.0	0.0	504.0	44.0	52.0	112.0	306.0	151.0	30.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	25.0	0.0	69.0	0.0	0.0	0.0
