#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR22815539	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815560	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815561	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815571	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815574	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815591	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815596	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815602	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815604	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815614	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815616	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815617	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815624	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815625	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815632	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815639	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815672	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815676	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815677	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815693	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815694	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815696	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815707	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815739	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815740	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815741	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815742	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815772	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815779	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815781	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815798	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815802	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815812	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815827	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815831	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815840	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815861	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815918	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815937	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815940	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Sterile	
SRR22815944	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815954	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815955	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815957	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815962	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815964	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22815979	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815981	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22815988	swift2025drought	Swift et al. (2025)	Drought	PACMAD clade	Zea mays	Endosphere	Reference	
SRR22816000	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
SRR22816003	swift2025drought	Swift et al. (2025)	Control	PACMAD clade	Zea mays	Endosphere	Dry	
