#SampleID	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Firmicutes	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Myxococcota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__NB1-j	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Armatimonadota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__MBNT15	d__Bacteria;p__Spirochaetota	d__Bacteria;p__FCPU426	d__Bacteria;p__WS2	d__Bacteria;p__Deinococcota	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Rs-K70_termite_group	d__Bacteria;p__WPS-2	d__Bacteria;p__RCP2-54
SRR6764340	4754.0	5474.0	2232.0	2628.0	728.0	37.0	1222.0	1245.0	77.0	1320.0	274.0	285.0	0.0	37.0	967.0	215.0	100.0	0.0	135.0	0.0	0.0	9.0	15.0	0.0	0.0	9.0	38.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764341	2566.0	7023.0	643.0	5054.0	1203.0	0.0	415.0	1300.0	486.0	1358.0	175.0	0.0	0.0	33.0	451.0	58.0	13.0	0.0	0.0	0.0	427.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764342	3053.0	9487.0	648.0	4827.0	1071.0	0.0	817.0	1427.0	614.0	1674.0	184.0	50.0	0.0	29.0	477.0	113.0	13.0	71.0	0.0	0.0	116.0	0.0	0.0	0.0	0.0	16.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764344	3553.0	5226.0	780.0	3489.0	660.0	0.0	767.0	883.0	277.0	869.0	361.0	27.0	0.0	23.0	682.0	206.0	69.0	0.0	0.0	0.0	118.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764345	835.0	4865.0	675.0	5340.0	592.0	0.0	60.0	387.0	781.0	722.0	90.0	0.0	0.0	0.0	89.0	74.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764346	2645.0	2593.0	569.0	2586.0	652.0	0.0	443.0	446.0	127.0	639.0	200.0	30.0	0.0	71.0	352.0	34.0	40.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764347	663.0	3111.0	719.0	4071.0	363.0	0.0	6.0	71.0	664.0	610.0	0.0	11.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	26.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764348	1008.0	3907.0	364.0	4351.0	507.0	0.0	46.0	106.0	588.0	656.0	26.0	0.0	0.0	14.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764351	3223.0	3475.0	844.0	2576.0	729.0	0.0	754.0	846.0	0.0	678.0	193.0	45.0	0.0	26.0	483.0	84.0	116.0	0.0	71.0	8.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764352	2278.0	4074.0	1281.0	2754.0	625.0	0.0	593.0	835.0	139.0	868.0	224.0	53.0	0.0	0.0	622.0	134.0	119.0	0.0	59.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
