#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR6764340	xu2018drought	Xu et al. (2018)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR6764341	xu2018drought	Xu et al. (2018)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR6764342	xu2018drought	Xu et al. (2018)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR6764344	xu2018drought	Xu et al. (2018)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR6764345	xu2018drought	Xu et al. (2018)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR6764346	xu2018drought	Xu et al. (2018)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR6764347	xu2018drought	Xu et al. (2018)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR6764348	xu2018drought	Xu et al. (2018)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR6764351	xu2018drought	Xu et al. (2018)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR6764352	xu2018drought	Xu et al. (2018)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR6764354	xu2018drought	Xu et al. (2018)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR6764355	xu2018drought	Xu et al. (2018)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR6764356	xu2018drought	Xu et al. (2018)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR6764357	xu2018drought	Xu et al. (2018)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR6764359	xu2018drought	Xu et al. (2018)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR6764360	xu2018drought	Xu et al. (2018)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR6764361	xu2018drought	Xu et al. (2018)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR6764362	xu2018drought	Xu et al. (2018)	Drought	PACMAD clade	Sorghum bicolor	Endosphere	Not available for this type of experiment	341F,785R
SRR6764363	xu2018drought	Xu et al. (2018)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR6764364	xu2018drought	Xu et al. (2018)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR6764365	xu2018drought	Xu et al. (2018)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
