#SampleID	d__Bacteria;p__Myxococcota;c__Polyangia	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	d__Bacteria;p__Bacteroidota;c__Bacteroidia	d__Bacteria;p__Nitrospirota;c__Nitrospiria	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia	d__Bacteria;p__Armatimonadota;c__Armatimonadia	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia	d__Bacteria;p__Planctomycetota;c__Planctomycetes	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes	d__Bacteria;p__Planctomycetota;c__Phycisphaerae	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia	d__Bacteria;p__Bacteroidota;c__Kapabacteria	d__Bacteria;p__Chloroflexi;c__Anaerolineae	d__Bacteria;p__Planctomycetota;c__vadinHA49	d__Bacteria;p__Chloroflexi;c__Ktedonobacteria	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66	d__Bacteria;p__Actinobacteriota;c__Actinobacteria	d__Bacteria;p__Chloroflexi;c__Chloroflexia	d__Bacteria;p__Firmicutes;c__Bacilli	d__Bacteria;p__Patescibacteria;c__Saccharimonadia	d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group	d__Bacteria;p__Acidobacteriota;c__Blastocatellia	d__Bacteria;p__Patescibacteria;c__Berkelbacteria	d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia	d__Bacteria;p__Chloroflexi;c__OLB14	d__Bacteria;p__Patescibacteria;c__Parcubacteria	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia	d__Bacteria;p__Chloroflexi;c__AD3	d__Bacteria;p__Desulfobacterota;c__Syntrophia	d__Bacteria;p__Armatimonadota;c__uncultured	d__Bacteria;p__Myxococcota;c__Myxococcia	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria	d__Bacteria;p__Armatimonadota;c__Chthonomonadetes	d__Bacteria;p__Patescibacteria;c__Gracilibacteria	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia	d__Bacteria;p__Planctomycetota;c__Pla4_lineage	d__Bacteria;p__Dependentiae;c__Babeliae	d__Bacteria;p__Firmicutes;c__Desulfotomaculia	d__Bacteria;p__Chloroflexi;c__TK10	d__Bacteria;p__Firmicutes;c__Syntrophomonadia	d__Bacteria;p__Bdellovibrionota;c__Oligoflexia	d__Bacteria;p__Firmicutes;c__Clostridia	d__Bacteria;p__Planctomycetota;c__BD7-11	d__Bacteria;p__Sumerlaeota;c__Sumerlaeia	d__Bacteria;p__Chloroflexi;c__Gitt-GS-136	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae	d__Bacteria;p__Cyanobacteria;c__Sericytochromatia	d__Bacteria;p__Planctomycetota;c__Pla3_lineage	d__Bacteria;p__Firmicutes;c__Incertae_Sedis	d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia	d__Bacteria;p__Firmicutes;c__Negativicutes	d__Bacteria;p__Acidobacteriota;c__Holophagae	d__Bacteria;p__Acidobacteriota;c__Subgroup_5	d__Bacteria;p__Bacteroidota;c__Kryptonia	d__Bacteria;p__Actinobacteriota;c__MB-A2-108	d__Bacteria;p__Abditibacteriota;c__Abditibacteria	d__Bacteria;p__Chloroflexi;c__KD4-96	d__Bacteria;p__Spirochaetota;c__Spirochaetia	d__Bacteria;p__Gemmatimonadota;c__Longimicrobia	d__Bacteria;p__Firmicutes;c__Limnochordia	d__Bacteria;p__Synergistota;c__Synergistia	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIa	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia	d__Bacteria;p__Patescibacteria;c__ABY1	d__Bacteria;p__Latescibacterota;c__Latescibacterota	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria	d__Bacteria;p__RCP2-54;c__RCP2-54	d__Bacteria;p__Thermotogota;c__Thermotogae	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia	d__Bacteria;p__Firmicutes;c__D8A-2	d__Bacteria;p__Firmicutes;c__Symbiobacteriia	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIb	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia	d__Bacteria;p__Firmicutes;c__BRH-c20a	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia	d__Bacteria;p__Acidobacteriota;c__Subgroup_18	d__Bacteria;p__Dadabacteria;c__Dadabacteriia	d__Bacteria;p__Acidobacteriota;c__AT-s3-28	d__Bacteria;p__Latescibacterota;c__Latescibacteria	d__Bacteria;p__Spirochaetota;c__Leptospirae	d__Bacteria;p__Deinococcota;c__Deinococci	d__Bacteria;p__Myxococcota;c__bacteriap25	d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B)	d__Bacteria;p__WPS-2;c__WPS-2	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	d__Bacteria;p__FCPU426;c__FCPU426	d__Bacteria;p__Caldisericota;c__Caldisericia	d__Bacteria;p__GAL15;c__GAL15	d__Bacteria;p__Acidobacteriota;c__Subgroup_25	d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia	d__Bacteria;p__Firmicutes;c__Thermacetogenia	d__Bacteria;p__MBNT15;c__MBNT15	d__Bacteria;p__Acidobacteriota;c__Subgroup_11	d__Bacteria;p__Acidobacteriota;c__Subgroup_22	d__Bacteria;p__Firmicutes;c__Dethiobacteria	d__Bacteria;p__NB1-j;c__NB1-j	d__Bacteria;p__WS2;c__WS2	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia	d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group	d__Bacteria;p__Firmicutes;c__Desulfitobacteriia	d__Bacteria;p__Acidobacteriota;c__FFCH5909	d__Bacteria;p__Planctomycetota;c__OM190	d__Bacteria;p__Patescibacteria;c__Microgenomatia	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	d__Bacteria;p__Actinobacteriota;c__WCHB1-81	d__Bacteria;p__Desulfobacterota;c__uncultured	d__Bacteria;p__Patescibacteria;c__uncultured	d__Bacteria;p__Firmicutes;c__Sulfobacillia	d__Bacteria;p__Entotheonellaeota;c__Entotheonellia	d__Bacteria;p__Spirochaetota;c__Brachyspirae	d__Bacteria;p__Caldatribacteriota;c__Caldatribacteriia	d__Bacteria;p__Bacteroidota;c__Ignavibacteria	d__Bacteria;p__Caldatribacteriota;c__JS1	d__Bacteria;p__Nitrospirota;c__4-29-1	d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria	d__Bacteria;p__Chloroflexi;c__P2-11E	d__Bacteria;p__WS1;c__WS1	d__Bacteria;p__Coprothermobacterota;c__Coprothermobacteria	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIc	d__Bacteria;p__Acidobacteriota;c__Aminicenantia	d__Bacteria;p__TX1A-33;c__TX1A-33	d__Bacteria;p__Firmicutes;c__Thermovenabulia
SRR19309706	28.0	856.0	7518.0	2145.0	0.0	14.0	82.0	6.0	1201.0	158.0	86.0	617.0	12.0	100.0	18.0	0.0	328.0	4330.0	0.0	1485.0	12.0	1800.0	4.0	0.0	0.0	0.0	0.0	3.0	53.0	0.0	0.0	0.0	3.0	12.0	51.0	19.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	22.0	15.0	0.0	4.0	0.0	0.0	198.0	0.0	10.0	533.0	17.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	15.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR19309717	24.0	1183.0	5919.0	3084.0	0.0	3.0	92.0	7.0	2215.0	324.0	165.0	421.0	23.0	20.0	22.0	0.0	156.0	5154.0	0.0	1579.0	30.0	4960.0	13.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	20.0	2.0	6.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	49.0	34.0	0.0	3.0	0.0	158.0	363.0	0.0	4.0	109.0	7.0	16.0	0.0	0.0	0.0	0.0	116.0	0.0	0.0	9.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	9.0	0.0	0.0	0.0	2.0
SRR19309728	77.0	1710.0	7445.0	4264.0	0.0	14.0	156.0	22.0	2941.0	738.0	160.0	802.0	98.0	48.0	33.0	0.0	3639.0	8253.0	3.0	4227.0	90.0	3461.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	16.0	0.0	18.0	0.0	33.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	66.0	41.0	4.0	10.0	0.0	18.0	364.0	0.0	4.0	313.0	0.0	3.0	0.0	0.0	0.0	0.0	22.0	5.0	0.0	16.0	0.0	65.0	0.0	0.0	0.0	0.0	11.0	3.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	15.0	0.0	2.0	0.0	0.0
SRR19309739	47.0	1902.0	12828.0	4944.0	0.0	22.0	124.0	7.0	3236.0	334.0	80.0	620.0	57.0	60.0	25.0	0.0	943.0	8806.0	0.0	2843.0	28.0	2666.0	14.0	0.0	6.0	0.0	3.0	5.0	9.0	0.0	0.0	0.0	103.0	53.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	55.0	47.0	8.0	4.0	0.0	68.0	599.0	0.0	0.0	551.0	7.0	11.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	7.0	0.0	0.0	36.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0
SRR19309750	33.0	1402.0	7840.0	3424.0	0.0	4.0	79.0	0.0	3106.0	385.0	150.0	524.0	95.0	11.0	25.0	0.0	289.0	7713.0	0.0	4917.0	116.0	2625.0	22.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	4.0	19.0	11.0	17.0	2.0	0.0	0.0	0.0	24.0	0.0	9.0	0.0	46.0	36.0	0.0	0.0	0.0	0.0	444.0	0.0	19.0	7.0	11.0	9.0	3.0	0.0	0.0	0.0	65.0	0.0	0.0	42.0	35.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	12.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0
SRR19309752	223.0	14292.0	16238.0	6594.0	117.0	155.0	3.0	100.0	1289.0	2219.0	79.0	1105.0	1274.0	126.0	295.0	4.0	772.0	16142.0	0.0	1194.0	35.0	1861.0	6.0	2.0	991.0	24.0	2.0	0.0	8.0	20.0	85.0	0.0	70.0	74.0	2165.0	44.0	11.0	64.0	0.0	120.0	0.0	35.0	18.0	149.0	370.0	0.0	18.0	6.0	79.0	296.0	6.0	21.0	266.0	160.0	6.0	135.0	38.0	16.0	19.0	21.0	209.0	0.0	0.0	3.0	116.0	59.0	32.0	17.0	127.0	50.0	0.0	0.0	0.0	90.0	0.0	190.0	66.0	76.0	0.0	30.0	4.0	0.0	0.0	70.0	0.0	7.0	503.0	3.0	18.0	28.0	203.0	0.0	4.0	72.0	0.0	12.0	7.0	3.0	4.0	0.0	0.0	2.0	63.0	0.0	0.0	0.0	10.0	11.0	0.0	10.0	0.0	0.0	0.0	25.0	6.0	134.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0
SRR19309753	269.0	9963.0	12984.0	12751.0	105.0	358.0	22.0	114.0	2106.0	1730.0	41.0	1248.0	596.0	234.0	449.0	4.0	719.0	14137.0	12.0	1079.0	13.0	1143.0	11.0	0.0	1069.0	78.0	0.0	5.0	39.0	28.0	20.0	29.0	29.0	147.0	1438.0	54.0	7.0	48.0	0.0	231.0	0.0	25.0	4.0	237.0	181.0	0.0	21.0	0.0	142.0	345.0	4.0	3.0	310.0	57.0	0.0	61.0	51.0	12.0	7.0	160.0	89.0	28.0	0.0	0.0	57.0	90.0	20.0	15.0	74.0	28.0	5.0	0.0	4.0	23.0	0.0	657.0	82.0	81.0	0.0	47.0	0.0	0.0	2.0	50.0	0.0	29.0	229.0	0.0	3.0	0.0	272.0	0.0	2.0	65.0	13.0	0.0	8.0	7.0	5.0	5.0	2.0	3.0	23.0	0.0	4.0	0.0	7.0	28.0	0.0	0.0	2.0	0.0	0.0	39.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	2.0	0.0	0.0	0.0
SRR19309754	221.0	7177.0	10266.0	7452.0	315.0	364.0	24.0	91.0	2617.0	1487.0	377.0	947.0	582.0	140.0	534.0	13.0	1138.0	11182.0	27.0	1189.0	202.0	1401.0	15.0	0.0	1109.0	52.0	0.0	11.0	40.0	39.0	15.0	0.0	127.0	168.0	1497.0	97.0	0.0	107.0	6.0	131.0	0.0	80.0	10.0	121.0	73.0	0.0	8.0	4.0	64.0	179.0	7.0	9.0	210.0	134.0	8.0	84.0	34.0	11.0	16.0	172.0	142.0	9.0	0.0	0.0	54.0	45.0	16.0	2.0	106.0	31.0	6.0	4.0	4.0	0.0	0.0	548.0	53.0	60.0	0.0	31.0	3.0	0.0	7.0	35.0	6.0	29.0	228.0	3.0	0.0	0.0	120.0	0.0	0.0	53.0	0.0	0.0	10.0	0.0	5.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	40.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	5.0	0.0	0.0
SRR19309755	216.0	3242.0	7459.0	2709.0	200.0	87.0	24.0	153.0	3136.0	949.0	684.0	1007.0	811.0	41.0	198.0	7.0	1061.0	8410.0	24.0	1640.0	673.0	1222.0	6.0	7.0	1423.0	8.0	3.0	37.0	7.0	32.0	33.0	0.0	555.0	102.0	2659.0	123.0	4.0	203.0	14.0	65.0	0.0	143.0	0.0	130.0	44.0	9.0	37.0	24.0	33.0	72.0	4.0	0.0	68.0	0.0	3.0	65.0	62.0	2.0	43.0	28.0	345.0	0.0	11.0	0.0	0.0	0.0	10.0	15.0	131.0	0.0	15.0	0.0	0.0	0.0	0.0	89.0	9.0	44.0	0.0	43.0	0.0	0.0	0.0	30.0	0.0	6.0	213.0	0.0	2.0	0.0	135.0	0.0	0.0	65.0	0.0	0.0	3.0	6.0	37.0	0.0	4.0	11.0	45.0	0.0	0.0	0.0	4.0	5.0	0.0	0.0	5.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR19309756	70.0	1711.0	4739.0	1281.0	100.0	55.0	22.0	80.0	1612.0	511.0	365.0	615.0	689.0	4.0	120.0	0.0	809.0	4932.0	19.0	1664.0	491.0	1350.0	0.0	0.0	954.0	7.0	2.0	4.0	4.0	14.0	32.0	0.0	267.0	47.0	1530.0	66.0	0.0	152.0	7.0	11.0	0.0	87.0	0.0	63.0	29.0	11.0	25.0	3.0	5.0	137.0	0.0	0.0	92.0	0.0	0.0	25.0	32.0	0.0	20.0	0.0	221.0	0.0	31.0	0.0	0.0	9.0	8.0	7.0	73.0	0.0	16.0	0.0	8.0	0.0	0.0	27.0	5.0	17.0	0.0	8.0	0.0	0.0	0.0	5.0	0.0	0.0	120.0	3.0	0.0	0.0	57.0	0.0	10.0	6.0	0.0	0.0	0.0	10.0	4.0	0.0	2.0	0.0	20.0	0.0	0.0	0.0	9.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
