#SampleID	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Firmicutes	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Synergistota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__RCP2-54	d__Bacteria;p__Thermotogota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Dadabacteria	d__Bacteria;p__Deinococcota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__WPS-2	d__Bacteria;p__FCPU426	d__Bacteria;p__Caldisericota	d__Bacteria;p__GAL15	d__Bacteria;p__MBNT15	d__Bacteria;p__NB1-j	d__Bacteria;p__WS2	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Caldatribacteriota	d__Bacteria;p__WS1	d__Bacteria;p__Coprothermobacterota	d__Bacteria;p__TX1A-33
SRR19309706	40.0	856.0	11848.0	2245.0	0.0	36.0	116.0	1508.0	1818.0	209.0	101.0	364.0	1827.0	57.0	0.0	731.0	8.0	0.0	0.0	4.0	17.0	37.0	4.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0
SRR19309717	44.0	1341.0	11073.0	3104.0	0.0	52.0	98.0	1609.0	2636.0	326.0	174.0	217.0	5022.0	85.0	0.0	472.0	0.0	0.0	106.0	3.0	7.0	116.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	9.0	0.0
SRR19309728	77.0	1728.0	15704.0	4312.0	0.0	80.0	184.0	4347.0	3747.0	773.0	176.0	3860.0	3526.0	65.0	0.0	679.0	11.0	0.0	80.0	10.0	0.0	22.0	0.0	65.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	3.0	15.0	0.0
SRR19309739	100.0	1970.0	21634.0	5004.0	0.0	77.0	231.0	2909.0	3874.0	376.0	80.0	1008.0	2746.0	45.0	3.0	1150.0	8.0	0.0	0.0	4.0	7.0	4.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	45.0	0.0
SRR19309750	44.0	1402.0	15553.0	3435.0	0.0	50.0	100.0	5015.0	3630.0	405.0	192.0	450.0	2753.0	22.0	0.0	451.0	7.0	0.0	24.0	0.0	11.0	65.0	0.0	59.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	17.0	0.0
SRR19309752	800.0	14374.0	32380.0	6736.0	117.0	304.0	147.0	2597.0	2417.0	5631.0	81.0	1550.0	2398.0	108.0	2.0	582.0	167.0	64.0	120.0	18.0	160.0	21.0	6.0	116.0	157.0	202.0	0.0	0.0	190.0	0.0	7.0	3.0	18.0	203.0	0.0	4.0	7.0	0.0	2.0	0.0	25.0	134.0	0.0	0.0	0.0
SRR19309753	645.0	10118.0	27126.0	12997.0	105.0	595.0	152.0	1796.0	3369.0	4432.0	41.0	1383.0	1363.0	231.0	0.0	683.0	140.0	48.0	231.0	21.0	57.0	160.0	28.0	57.0	194.0	124.0	5.0	0.0	657.0	0.0	29.0	0.0	3.0	272.0	0.0	2.0	8.0	2.0	3.0	0.0	39.0	42.0	0.0	18.0	0.0
SRR19309754	617.0	7241.0	21448.0	7605.0	315.0	485.0	279.0	1878.0	3604.0	4293.0	377.0	2297.0	1501.0	140.0	0.0	428.0	91.0	107.0	131.0	8.0	134.0	172.0	15.0	54.0	114.0	141.0	6.0	4.0	548.0	0.0	29.0	3.0	0.0	120.0	0.0	0.0	10.0	0.0	0.0	0.0	40.0	40.0	0.0	27.0	0.0
SRR19309755	531.0	3275.0	15869.0	2752.0	200.0	217.0	745.0	2647.0	4189.0	5281.0	702.0	2862.0	1269.0	56.0	3.0	172.0	49.0	203.0	65.0	37.0	0.0	28.0	0.0	0.0	19.0	161.0	15.0	0.0	89.0	0.0	6.0	0.0	2.0	135.0	0.0	0.0	3.0	4.0	11.0	0.0	27.0	0.0	0.0	0.0	0.0
SRR19309756	237.0	1716.0	9671.0	1285.0	100.0	118.0	363.0	2453.0	2260.0	3080.0	396.0	2020.0	1379.0	23.0	2.0	243.0	17.0	152.0	11.0	25.0	0.0	0.0	0.0	0.0	22.0	78.0	16.0	0.0	27.0	0.0	0.0	3.0	0.0	57.0	0.0	10.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR19309761	169.0	2643.0	49118.0	10532.0	0.0	189.0	138.0	10952.0	9495.0	1230.0	770.0	1852.0	10260.0	56.0	0.0	1150.0	61.0	0.0	0.0	0.0	48.0	22.0	0.0	376.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.0	0.0	90.0	0.0
SRR19309762	366.0	2778.0	9715.0	1514.0	160.0	30.0	341.0	1616.0	2544.0	4006.0	416.0	1945.0	1043.0	50.0	0.0	123.0	40.0	202.0	18.0	10.0	0.0	23.0	7.0	20.0	43.0	86.0	21.0	0.0	36.0	0.0	15.0	2.0	0.0	57.0	0.0	8.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	14.0	0.0
SRR19309763	271.0	1702.0	5498.0	1304.0	107.0	59.0	527.0	2165.0	2794.0	3883.0	488.0	2509.0	695.0	9.0	0.0	45.0	0.0	220.0	13.0	18.0	0.0	20.0	0.0	0.0	3.0	120.0	15.0	0.0	76.0	0.0	0.0	9.0	0.0	38.0	0.0	6.0	3.0	3.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0
