#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR19309706	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309717	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309728	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309739	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309750	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309752	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Reference	
SRR19309753	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Reference	
SRR19309754	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Reference	
SRR19309755	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Reference	
SRR19309756	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Reference	
SRR19309761	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309762	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Reference	
SRR19309763	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Reference	
SRR19309764	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Reference	
SRR19309765	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Reference	
SRR19309766	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Reference	
SRR19309767	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309768	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309769	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309770	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309771	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309772	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309773	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309774	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309775	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309776	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309777	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309779	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Dry	
SRR19309780	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Dry	
SRR19309781	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Dry	
SRR19309782	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Dry	
SRR19309783	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309784	zhang2022cross	Zhang et al. (2022)	Control	PACMAD clade	Zea mays	Rhizosphere	Dry	
SRR19309789	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Dry	
SRR19309790	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Dry	
SRR19309791	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Dry	
SRR19309792	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Dry	
SRR19309793	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Dry	
SRR19309794	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Sterile	
SRR19309795	zhang2022cross	Zhang et al. (2022)	Drought	PACMAD clade	Zea mays	Rhizosphere	Sterile	
